Gender,Height_cm,US_born,Poverty,Weight_kg,Age_yr
Male,172.3,TRUE,FALSE,69.2,22
Female,94.7,TRUE,TRUE,12.7,3
Male,168.9,TRUE,FALSE,49.4,14
Female,170.1,TRUE,FALSE,67.2,44
Female,159.4,TRUE,TRUE,69.1,14
Male,123.6,TRUE,FALSE,23.6,6
Male,164.8,TRUE,TRUE,54.6,21
Male,187,TRUE,FALSE,63.5,15
Male,171,TRUE,FALSE,58.2,14
Female,172,TRUE,FALSE,98.6,43
Male,168.1,TRUE,FALSE,95.8,80
Male,119.8,TRUE,TRUE,23.9,5
Female,171.6,TRUE,FALSE,68.7,34
Male,173.5,TRUE,TRUE,85.9,80
Male,182.1,TRUE,FALSE,91.4,55
Male,178.7,TRUE,TRUE,89,35
Male,134.5,TRUE,TRUE,29.6,9
Male,128.6,TRUE,FALSE,26.6,6
Male,176.6,TRUE,FALSE,68.9,26
Female,166.4,TRUE,TRUE,63.5,17
Male,82,TRUE,TRUE,11.8,2
Female,156,TRUE,FALSE,54.4,30
Female,150.5,FALSE,TRUE,38.5,15
Female,153.5,TRUE,FALSE,62.8,11
Male,185.7,TRUE,FALSE,98.4,17
Female,134.7,TRUE,FALSE,26.7,9
Male,185.9,FALSE,FALSE,97.4,35
Female,167.6,TRUE,FALSE,63,16
Male,122.8,TRUE,TRUE,26.3,7
Male,186,TRUE,FALSE,96.9,57
Male,163.4,FALSE,FALSE,73.7,42
Male,180.1,TRUE,FALSE,80.2,36
Male,171.4,TRUE,FALSE,84.8,28
Female,167.4,TRUE,FALSE,81.5,35
Male,168.7,FALSE,FALSE,63.2,38
Female,143.4,FALSE,FALSE,53.5,62
Male,179.4,TRUE,FALSE,83.7,15
Female,172.7,TRUE,FALSE,70.9,22
Female,151.1,TRUE,TRUE,69.8,77
Female,154.4,TRUE,FALSE,108.2,38
Female,96.7,TRUE,TRUE,17.2,2
Female,167.3,TRUE,FALSE,113.1,31
Female,166.2,TRUE,FALSE,145.2,41
Male,179,TRUE,FALSE,80.1,32
Female,172,FALSE,FALSE,80.6,29
Female,165,TRUE,FALSE,54.7,13
Male,160.5,FALSE,FALSE,73.1,80
Male,178.3,TRUE,FALSE,72.2,19
Male,195,TRUE,FALSE,164.9,50
Female,171.4,TRUE,FALSE,84.1,31
Male,168.9,TRUE,FALSE,84.8,75
Female,164.7,TRUE,FALSE,90.1,48
Female,175.3,TRUE,FALSE,97,42
Female,150.5,TRUE,TRUE,102.4,63
Male,179.7,TRUE,FALSE,76.9,23
Female,90.2,TRUE,FALSE,12.8,2
Male,174.6,FALSE,FALSE,70.8,61
Female,157.8,TRUE,FALSE,99.4,58
Female,156.9,FALSE,TRUE,57.4,22
Female,164.2,TRUE,FALSE,57.1,14
Male,174.9,TRUE,FALSE,82.7,24
Male,124.1,TRUE,FALSE,23.6,8
Male,163.3,FALSE,FALSE,71,65
Female,162.4,TRUE,FALSE,53.6,26
Male,179,TRUE,FALSE,83.1,34
Female,155.7,TRUE,FALSE,38.8,11
Male,175.9,TRUE,FALSE,53.3,18
Male,161.8,TRUE,TRUE,71,65
Male,173.1,TRUE,FALSE,77.8,80
Male,168.3,FALSE,TRUE,87.9,47
Male,180.2,TRUE,TRUE,135.5,61
Male,145.5,TRUE,FALSE,31.5,10
Male,159,FALSE,FALSE,72.3,47
Male,97.4,TRUE,TRUE,17.5,2
Male,166.7,TRUE,FALSE,86.5,77
Male,177.9,TRUE,FALSE,99.3,52
Male,177.2,FALSE,FALSE,52.2,64
Female,173.1,TRUE,FALSE,131.6,27
Female,155.6,TRUE,TRUE,46.3,15
Male,173.1,TRUE,TRUE,68.4,29
Female,150.4,FALSE,TRUE,73,33
Male,137.5,TRUE,FALSE,45.5,7
Male,140.5,TRUE,TRUE,41.3,9
Female,168.3,TRUE,FALSE,85.1,15
Male,85.9,TRUE,TRUE,11.2,2
Female,162,FALSE,FALSE,57.2,41
Male,131.3,TRUE,FALSE,23,9
Female,164.2,TRUE,FALSE,67.5,55
Female,155.7,TRUE,FALSE,68.6,72
Female,160.1,TRUE,FALSE,62.4,54
Female,157.4,TRUE,TRUE,55.2,13
Female,178,TRUE,FALSE,75,57
Male,91.7,TRUE,FALSE,15.7,2
Female,163.9,TRUE,FALSE,68.9,64
Female,154.5,TRUE,FALSE,78.9,17
Female,166.2,TRUE,FALSE,74,73
Male,178.5,TRUE,FALSE,64.1,29
