Row,Col,Well,Condition,Timepoint,Mouse
A,1,A1,m0,4h,1
A,2,A2,m0,4h,1
A,3,A3,m0,4h,2
A,4,A4,m0,4h,2
A,5,A5,m0,4h,3
A,6,A6,m0,4h,3
A,7,A7,m0,24h,1
A,8,A8,m0,24h,1
A,9,A9,m0,24h,2
A,10,A10,m0,24h,2
A,11,A11,m0,24h,3
A,12,A12,m0,24h,3
B,1,B1,fibrin,4h,1
B,2,B2,fibrin,4h,1
B,3,B3,fibrin,4h,2
B,4,B4,fibrin,4h,2
B,5,B5,fibrin,4h,3
B,6,B6,fibrin,4h,3
B,7,B7,fibrin,24h,1
B,8,B8,fibrin,24h,1
B,9,B9,fibrin,24h,2
B,10,B10,fibrin,24h,2
B,11,B11,fibrin,24h,3
B,12,B12,fibrin,24h,3
C,1,C1,fn+fg,4h,1
C,2,C2,fn+fg,4h,1
C,3,C3,fn+fg,4h,2
C,4,C4,fn+fg,4h,2
C,5,C5,fn+fg,4h,3
C,6,C6,fn+fg,4h,3
C,7,C7,fn+fg,24h,1
C,8,C8,fn+fg,24h,1
C,9,C9,fn+fg,24h,2
C,10,C10,fn+fg,24h,2
C,11,C11,fn+fg,24h,3
C,12,C12,fn+fg,24h,3
D,1,D1,fg,4h,1
D,2,D2,fg,4h,1
D,3,D3,fg,4h,2
D,4,D4,fg,4h,2
D,5,D5,fg,4h,3
D,6,D6,fg,4h,3
D,7,D7,fg,24h,1
D,8,D8,fg,24h,1
D,9,D9,fg,24h,2
D,10,D10,fg,24h,2
D,11,D11,fg,24h,3
D,12,D12,fg,24h,3
E,1,E1,lps,4h,1
E,2,E2,lps,4h,1
E,3,E3,lps,4h,2
E,4,E4,lps,4h,2
E,5,E5,lps,4h,3
E,6,E6,lps,4h,3
E,7,E7,lps,24h,1
E,8,E8,lps,24h,1
E,9,E9,lps,24h,2
E,10,E10,lps,24h,2
E,11,E11,lps,24h,3
E,12,E12,lps,24h,3
F,1,F1,m1,4h,1
F,2,F2,m1,4h,1
F,3,F3,m1,4h,2
F,4,F4,m1,4h,2
F,5,F5,m1,4h,3
F,6,F6,m1,4h,3
F,7,F7,m1,24h,1
F,8,F8,m1,24h,1
F,9,F9,m1,24h,2
F,10,F10,m1,24h,2
F,11,F11,m1,24h,3
F,12,F12,m1,24h,3
G,1,G1,m2,4h,1
G,2,G2,m2,4h,1
G,3,G3,m2,4h,2
G,4,G4,m2,4h,2
G,5,G5,m2,4h,3
G,6,G6,m2,4h,3
G,7,G7,m2,24h,1
G,8,G8,m2,24h,1
G,9,G9,m2,24h,2
G,10,G10,m2,24h,2
G,11,G11,m2,24h,3
G,12,G12,m2,24h,3
H,1,H1,m2l,4h,1
H,2,H2,m2l,4h,1
H,3,H3,m2l,4h,2
H,4,H4,m2l,4h,2
H,5,H5,m2l,4h,3
H,6,H6,m2l,4h,3
H,7,H7,m2l,24h,1
H,8,H8,m2l,24h,1
H,9,H9,m2l,24h,2
H,10,H10,m2l,24h,2
H,11,H11,m2l,24h,3
H,12,H12,m2l,24h,3
