,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,,9354.86365614137,,Unknown,Unassigned,False
,A02,SYBR,,Unkn,,8880.45494611291,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,,8469.83685566925,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,,8781.74793396754,,Unknown,Unassigned,False
,A05,SYBR,,Unkn,,7908.63829021927,,Unknown,Unassigned,False
,A06,SYBR,,Unkn,,7974.09993376533,,Unknown,Unassigned,False
,A07,SYBR,,Unkn,,4543.04347479759,,Unknown,Unassigned,False
,A08,SYBR,,Unkn,,4546.78727107552,,Unknown,Unassigned,False
,A09,SYBR,,Unkn,,4606.94912322435,,Unknown,Unassigned,False
,A10,SYBR,,Unkn,,4300.05556949222,,Unknown,Unassigned,False
,A11,SYBR,,Unkn,,3451.17901199656,,Unknown,Unassigned,False
,A12,SYBR,,Unkn,,3818.78158761044,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,,11024.5964693549,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,,10767.7639949912,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,,10971.7045086807,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,,11780.3846377819,,Unknown,Unassigned,False
,B05,SYBR,,Unkn,,11839.4132061963,,Unknown,Unassigned,False
,B06,SYBR,,Unkn,,11268.6632567759,,Unknown,Unassigned,False
,B07,SYBR,,Unkn,,10016.2861108947,,Unknown,Unassigned,False
,B08,SYBR,,Unkn,,10512.8376038362,,Unknown,Unassigned,False
,B09,SYBR,,Unkn,,9886.21623019009,,Unknown,Unassigned,False
,B10,SYBR,,Unkn,,10153.3714366809,,Unknown,Unassigned,False
,B11,SYBR,,Unkn,,10892.9467851297,,Unknown,Unassigned,False
,B12,SYBR,,Unkn,,9659.27448524838,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,,11432.4150885489,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,,11531.0631629579,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,,11665.7171732536,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,,12301.8265293469,,Unknown,Unassigned,False
,C05,SYBR,,Unkn,,12257.8945848107,,Unknown,Unassigned,False
,C06,SYBR,,Unkn,,12737.4988848724,,Unknown,Unassigned,False
,C07,SYBR,,Unkn,,11644.4340058353,,Unknown,Unassigned,False
,C08,SYBR,,Unkn,,10808.8270453343,,Unknown,Unassigned,False
,C09,SYBR,,Unkn,,11179.022146242,,Unknown,Unassigned,False
,C10,SYBR,,Unkn,,11254.0258481609,,Unknown,Unassigned,False
,C11,SYBR,,Unkn,,10842.8986697776,,Unknown,Unassigned,False
,C12,SYBR,,Unkn,,10500.3328587244,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,,6860.05098257407,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,,6739.7894807808,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,,7700.21178654314,,Unknown,Unassigned,False
,D04,SYBR,,Unkn,,7404.71972108272,,Unknown,Unassigned,False
,D05,SYBR,,Unkn,,7338.72430520419,,Unknown,Unassigned,False
,D06,SYBR,,Unkn,,7346.80749768986,,Unknown,Unassigned,False
,D07,SYBR,,Unkn,,10937.9491147125,,Unknown,Unassigned,False
,D08,SYBR,,Unkn,,10908.3154257661,,Unknown,Unassigned,False
,D09,SYBR,,Unkn,,9877.93011262285,,Unknown,Unassigned,False
,D10,SYBR,,Unkn,,9885.08660133037,,Unknown,Unassigned,False
,D11,SYBR,,Unkn,,11452.2241320538,,Unknown,Unassigned,False
,D12,SYBR,,Unkn,,11907.4457789596,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,,7356.16685055386,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,,7414.04067820092,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,,8321.04448892235,,Unknown,Unassigned,False
,E04,SYBR,,Unkn,,8591.25627752472,,Unknown,Unassigned,False
,E05,SYBR,,Unkn,,7164.96035915439,,Unknown,Unassigned,False
,E06,SYBR,,Unkn,,8502.55513050588,,Unknown,Unassigned,False
,E07,SYBR,,Unkn,,8995.52237469251,,Unknown,Unassigned,False
,E08,SYBR,,Unkn,,9020.31805587641,,Unknown,Unassigned,False
,E09,SYBR,,Unkn,,7946.4477495276,,Unknown,Unassigned,False
,E10,SYBR,,Unkn,,7828.15971917955,,Unknown,Unassigned,False
,E11,SYBR,,Unkn,,8585.30702075219,,Unknown,Unassigned,False
,E12,SYBR,,Unkn,,8639.8556361829,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,,6896.49129277951,,Unknown,Unassigned,False
,F02,SYBR,,Unkn,,7217.22604115769,,Unknown,Unassigned,False
,F03,SYBR,,Unkn,,7104.51004333033,,Unknown,Unassigned,False
,F04,SYBR,,Unkn,,7461.47187300424,,Unknown,Unassigned,False
,F05,SYBR,,Unkn,,7866.03176106035,,Unknown,Unassigned,False
,F06,SYBR,,Unkn,,7998.59950929456,,Unknown,Unassigned,False
,F07,SYBR,,Unkn,,11172.793608171,,Unknown,Unassigned,False
,F08,SYBR,,Unkn,,11282.2782023995,,Unknown,Unassigned,False
,F09,SYBR,,Unkn,,10278.5372754298,,Unknown,Unassigned,False
,F10,SYBR,,Unkn,,10065.6622217256,,Unknown,Unassigned,False
,F11,SYBR,,Unkn,,11483.7417763334,,Unknown,Unassigned,False
,F12,SYBR,,Unkn,,12079.5362810426,,Unknown,Unassigned,False
,G01,SYBR,,Unkn,,13280.6182593811,,Unknown,Unassigned,False
,G02,SYBR,,Unkn,,13428.8961118907,,Unknown,Unassigned,False
,G03,SYBR,,Unkn,,14260.2603354809,,Unknown,Unassigned,False
,G04,SYBR,,Unkn,,13707.3843007528,,Unknown,Unassigned,False
,G05,SYBR,,Unkn,,13559.3398041363,,Unknown,Unassigned,False
,G06,SYBR,,Unkn,,13896.8320293122,,Unknown,Unassigned,False
,G07,SYBR,,Unkn,,10875.0808476117,,Unknown,Unassigned,False
,G08,SYBR,,Unkn,,13855.6593092141,,Unknown,Unassigned,False
,G09,SYBR,,Unkn,,12508.5130414502,,Unknown,Unassigned,False
,G10,SYBR,,Unkn,,12684.404331457,,Unknown,Unassigned,False
,G11,SYBR,,Unkn,,11941.1767778479,,Unknown,Unassigned,False
,G12,SYBR,,Unkn,,13214.650065368,,Unknown,Unassigned,False
,H01,SYBR,,Unkn,,9902.08662605119,,Unknown,Unassigned,False
,H02,SYBR,,Unkn,,10521.2729738935,,Unknown,Unassigned,False
,H03,SYBR,,Unkn,,10997.8901249023,,Unknown,Unassigned,False
,H04,SYBR,,Unkn,,12506.1059195339,,Unknown,Unassigned,False
,H05,SYBR,,Unkn,,9980.68563585556,,Unknown,Unassigned,False
,H06,SYBR,,Unkn,,10675.8189061382,,Unknown,Unassigned,False
,H07,SYBR,,Unkn,,15036.4761831104,,Unknown,Unassigned,False
,H08,SYBR,,Unkn,,12024.5824219715,,Unknown,Unassigned,False
,H09,SYBR,,Unkn,,14711.6273683478,,Unknown,Unassigned,False
,H10,SYBR,,Unkn,,12437.0483457912,,Unknown,Unassigned,False
,H11,SYBR,,Unkn,,14207.9629874778,,Unknown,Unassigned,False
,H12,SYBR,,Unkn,,13470.2629800163,,Unknown,Unassigned,False
