,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,65,214.921615341456,131.941025438691,117.640163537905,110.196734229813,117.493300444793,102.940635217737,105.594228158094,86.7977137596124,98.5785850449777,96.1024338333295,89.6244651080308,107.548910544129,132.718047215649,118.439670386032,109.613848768422,105.206014253685,105.012137778547,100.446045109947,119.183717467073,99.7803740509266,91.3996063839554,105.880250838286,134.973367729285,112.142798248654,145.822959914218,127.997932826522,122.466659472921,105.891102733892,111.86432153964,115.213031958935,124.304011713674,106.492786742151,102.052738649676,114.14976706256,113.000616825474,118.563888730194,130.099353143155,123.524268231126,117.492751292772,100.188776225414,111.632125101293,110.152341627168,118.156481091725,117.140464536192,100.431986241818,103.255668925233,120.988412524193,145.397837882806,133.443658237305,129.573349187037,107.094434343428,113.261725876893,94.6367685661373,114.054260236115,130.560589467819,114.760383159619,113.109240778273,97.0673154946894,105.607608581949,118.60953410824,121.913301076545,125.295814568942,103.764483047271,110.047109058898,111.259799951915,121.349256815255,121.509707090441,126.301690133996,113.708786152984,108.771271874239,111.397722277382,152.272063927786,131.321725354959,131.129942935736,115.924619753639,113.33161262456,117.255115802047,126.063104003343,73.4465892764174,133.473211847438,95.9728909265837,103.602808513212,104.362996519682,155.317354103412,113.703371478608,118.1846887917,115.6665024379,146.881388635648,116.00485494073,122.439361451993,143.493217390825,90.4255772075012,130.206502298943,95.4866092189459,141.883237520252,142.058371236068
,65.5,465.663499906485,285.872221783833,254.887020998793,238.759590831267,254.568817630381,223.038042971758,228.787494342537,188.061713145828,213.586934264119,208.221939972213,194.1863410674,233.022639512279,287.555768967247,256.619285836407,237.496672331574,227.946364216316,227.526298520183,217.63309773822,258.231387845325,216.190810443674,198.032480498568,229.407210149619,292.442296746787,242.97606287208,315.949746480804,277.328854457462,265.344428857997,229.430722590095,242.37269666922,249.628235911022,269.325358712961,230.734371274666,221.1142670743,247.324495302209,244.834669788528,256.888425582094,281.881931810173,267.635914500776,254.567627801002,217.075681821727,241.869604386136,238.663406858858,256.005709032072,253.804339828414,217.602636857272,223.720616004675,262.141560469082,315.028648746084,289.12792618083,280.742256571918,232.037941077433,245.400406066598,205.046331893297,247.11756384492,282.881277180278,248.647496845835,245.070021686256,210.312516905161,228.816485260887,256.987323901187,264.145485665848,271.474264899374,224.823046602417,238.435402960946,241.062899895816,262.923389766384,263.271032029287,273.653661956991,246.369036664797,235.671089060845,241.361731600993,329.922805176871,284.530404935739,284.114876360755,251.170009466214,245.551827353208,254.052750904432,273.136725340575,159.134276765571,289.191959002788,207.941263674264,224.472751778622,226.119825792639,336.520933890736,246.357304870317,256.066825715352,250.610755282119,318.243008710573,251.343852371583,265.285283145987,310.901971013451,195.922083949587,282.114088314371,206.887653307718,307.413681293876,307.793137678141
,66,429.843230682905,263.882050877384,235.280327075809,220.393468459631,234.986600889579,205.881270435466,211.188456316186,173.595427519226,197.157170089954,192.20486766666,179.248930216061,215.097821088257,265.436094431313,236.879340772071,219.227697536835,210.412028507365,210.024275557092,200.892090219899,238.367434934146,199.560748101853,182.799212767906,211.760501676569,269.946735458576,224.285596497301,291.645919828435,255.995865653041,244.933318945843,211.78220546778,223.72864307928,230.426063917866,248.608023427353,212.985573484307,204.105477299354,228.299534125113,226.001233650949,237.127777460398,260.198706286313,247.048536462257,234.985502585537,200.377552450823,223.264250202587,220.304683254327,236.312962183451,234.280929072383,200.863972483636,206.511337850469,241.976825048376,290.79567576562,266.887316474616,259.146698374081,214.188868686865,226.523451753779,189.273537132274,228.108520472234,261.121178935645,229.520766319227,226.218481556543,194.134630989382,211.215217163892,237.21906821648,243.82660215309,250.591629137881,207.528966094537,220.094218117796,222.51959990383,242.698513630504,243.01941418088,252.603380267988,227.41757230596,217.542543748469,222.795444554763,304.544127855573,262.64345070991,262.259885871462,231.849239507274,226.663225249111,234.510231604087,252.126208006677,146.893178552831,266.946423694885,191.945781853167,207.205617026417,208.725993039359,310.634708206841,227.406742957216,236.369377583402,231.333004875799,293.762777271301,232.009709881461,244.878722903991,286.986434781643,180.851154415006,260.413004597881,190.973218437894,283.766475040501,284.116742472127
,66.5,429.843230682906,263.882050877374,235.280327075787,220.393468459631,234.986600889558,205.881270435445,211.188456316168,173.595427519249,197.157170089931,192.20486766666,179.248930216045,215.097821088235,265.436094431283,236.879340772051,219.227697536847,210.412028507364,210.024275557128,200.89209021991,238.367434934138,199.560748101838,182.7992127679,211.760501676576,269.946735458575,224.285596497301,291.645919828454,255.995865653054,244.933318945842,211.782205467786,223.728643079266,230.426063917905,248.608023427342,212.985573484314,204.105477299322,228.299534125112,226.001233650942,237.127777460375,260.198706286318,247.048536462261,234.985502585545,200.37755245084,223.264250202588,220.304683254335,236.312962183455,234.28092907237,200.863972483631,206.511337850494,241.976825048393,290.795675765633,266.887316474623,259.146698374074,214.188868686834,226.523451753747,189.273537132269,228.108520472231,261.121178935615,229.52076631924,226.218481556531,194.134630989361,211.2152171639,237.219068216504,243.826602153099,250.591629137883,207.528966094521,220.094218117804,222.519599903806,242.69851363051,243.019414180892,252.603380268002,227.417572305965,217.542543748478,222.795444554753,304.544127855579,262.643450709982,262.25988587144,231.849239507312,226.663225249081,234.510231604042,252.126208006696,146.893178552813,266.946423694957,191.945781853162,207.20561702639,208.725993039359,310.634708206903,227.406742957199,236.369377583412,231.333004875802,293.762777271304,232.009709881474,244.878722903973,286.986434781664,180.851154415,260.413004597906,190.973218437879,283.766475040479,284.116742472147
,67,429.843230682949,263.882050877472,235.280327075958,220.393468459614,234.986600889737,205.881270435627,211.188456316329,173.595427519075,197.157170090115,192.204867666663,179.248930216176,215.097821088405,265.436094431452,236.879340772175,219.227697536784,210.412028507375,210.024275556886,200.89209021982,238.3674349342,199.560748101955,182.799212767947,211.760501676531,269.946735458554,224.285596497316,291.645919828322,255.995865652979,244.933318945858,211.782205467756,223.728643079395,230.426063917613,248.608023427417,212.985573484259,204.105477299585,228.299534125137,226.001233650995,237.127777460511,260.198706286258,247.04853646219,234.985502585512,200.377552450715,223.264250202587,220.304683254309,236.312962183422,234.280929072465,200.863972483661,206.511337850279,241.976825048255,290.795675765504,266.887316474541,259.146698374101,214.188868687053,226.523451754041,189.273537132306,228.108520472222,261.121178935815,229.520766319171,226.218481556654,194.134630989532,211.21521716387,237.219068216308,243.826602153034,250.591629137871,207.528966094664,220.094218117742,222.519599903989,242.698513630504,243.019414180783,252.603380267926,227.417572305954,217.54254374842,222.795444554821,304.544127855544,262.643450709431,262.259885871652,231.849239507043,226.663225249375,234.510231604441,252.126208006567,146.893178552969,266.946423694341,191.945781853202,207.205617026629,208.725993039364,310.63470820636,227.406742957337,236.369377583343,231.333004875766,293.762777271287,232.009709881379,244.878722904081,286.986434781535,180.851154415054,260.413004597719,190.973218437967,283.766475040687,284.116742472004
,67.5,429.011768764424,262.152916684584,233.248444838903,218.206378000866,233.146536665466,204.574767580856,209.467512023025,171.720690502091,195.323799397222,190.651144858096,177.836944308283,213.011733757197,262.992983905653,234.840573070289,217.980442974581,208.178573145791,207.652786031667,199.539330441763,236.186847826141,198.201337538029,182.152391365019,210.033409379426,267.367888101252,221.769682066784,290.075713551229,254.064362910476,242.724272241254,209.74968422539,221.723646643033,228.732745586227,246.482264837713,211.349387684294,201.656147152793,226.775304998989,223.569798134105,234.963943330824,259.158174507035,245.944539418423,233.708382824871,198.811719305782,221.72574685537,218.790604649646,234.730889264479,232.99280900952,199.975158395507,204.733175716874,239.69715281442,288.488208474214,265.567326462826,258.039097317915,212.650527399915,224.797411088144,187.858273231275,226.337256727194,259.321654400087,227.88969872866,224.26002304642,191.949377121686,209.034116596883,234.604963645537,242.391864159934,249.235794927075,206.166933024242,218.754560082803,221.005181775407,241.307640444216,241.197503230895,251.195217049263,225.505755210168,215.589993680144,220.339274402886,302.227987978618,260.280886798892,260.316906840645,229.261388932327,224.62399696019,232.373747175717,249.763753812422,145.445737220207,264.535891119208,190.041286528751,204.594931264718,206.097873038609,308.064503022174,225.501006902835,234.901418014183,229.955502745535,291.128357973331,230.169160906392,243.021133174144,283.878497067491,179.16480491075,257.262080443466,187.777745694675,281.204195943272,281.667154497234
,68,434.087294791895,272.260052096741,245.293095259448,230.809423885202,243.997798382827,211.755992037349,219.67934292742,182.570489151879,206.211022363159,199.475076545375,186.045717815276,225.645846062172,277.631969940289,247.025310535754,224.870205463704,220.935132983079,221.532786215528,206.751273645452,249.158144512179,205.784887815009,185.092188581216,219.709629274332,282.807776485135,236.696824874245,299.504798732473,265.370005766153,255.608488368604,221.356463914377,233.288241584272,238.151002964189,259.078187456375,220.671487385624,215.857663138481,235.267024614659,237.954857615671,247.783132664153,265.235583691882,252.422444865463,240.889053328923,207.655102901371,230.665125516839,227.319407097188,243.663335599983,240.209462511915,204.582075708155,214.681473324991,252.830684281849,302.099450713273,273.504348625499,264.480642579323,221.466774693483,234.792639638882,195.853027993546,236.586532303823,269.939594631398,237.049219455964,235.575091311468,204.478515558804,221.893928334229,250.40252304267,251.028099346152,257.102774005657,214.068501865507,226.357061131781,229.632681476229,249.162042975852,251.607388940192,259.0239591531,236.235695351244,226.590938870818,234.361431392676,316.032102744328,274.166180370578,271.574989351866,244.486621430843,236.028711923219,244.758697260077,263.269660187496,153.517593156775,278.350665265723,200.680415506789,219.558641840115,221.3856558328,323.459799596779,236.664945528591,243.182734943199,237.785335536547,306.732658522082,240.640489309384,253.575285522069,301.978094928118,188.503768360501,275.409808794949,206.554184863167,296.056116100817,296.246343865219
,68.5,444.563407591657,296.501162068029,272.65817442671,262.167535316538,268.85744203615,232.293840451232,242.779834879864,209.410838691104,230.816649882177,222.43988713442,205.979712562747,252.426587111357,309.646060727172,273.764837273679,244.243889672412,253.632275223827,254.16973752785,229.346837205073,278.165865933431,226.398217163583,198.503715079532,245.893193518195,316.927204891502,270.523408189122,319.745149596594,291.835301711946,286.280300922031,250.747896582448,261.615765929856,263.87810258545,287.22960052215,244.550308143831,250.584761974888,258.41207155883,270.933498527714,277.025204755463,279.691543141006,267.688268408602,260.121050757689,231.015718645146,252.007951129652,250.103427416061,267.108732984184,259.649699125981,220.091667379686,241.718813929887,285.485550268504,333.743598522442,290.622302933457,280.0532407619,243.704352087699,259.237204025165,216.864271356701,261.533031262365,294.114253759067,261.874389641909,263.570924846819,235.866459306937,251.63519282866,284.004255584918,269.547799243591,276.411213027974,232.863518497567,246.13754584737,251.803278652273,269.959843292305,278.140319875127,280.561081076186,265.134750026534,255.755230795955,270.177431554301,346.874526275196,306.576921938315,298.953808118769,279.111357934918,267.002060588389,274.6970534214,297.705349616102,175.403103940905,313.283038870105,229.608214283513,257.265772527755,258.302713691191,357.240093909266,263.15554586597,265.214792637902,257.923793969369,342.190600059015,267.914581007038,280.942010139159,345.531861100199,214.794015816358,320.833245211064,250.529393594912,332.46447481667,329.06283608297
,69,452.696947860069,319.710610555413,298.561835806847,296.48168698158,294.696722355048,258.66972768193,264.714366128408,236.720323269926,253.840007769975,249.078952229659,226.379132496514,274.106244718552,338.747502711906,299.173898242679,269.06468779194,289.74908038906,288.920048006134,259.513473908823,306.097272984482,252.712253178754,221.869745212256,277.785883329906,345.925465323989,302.630043615341,339.350721219575,320.583862152955,319.535454121421,286.024731049751,294.793848158388,298.021624059729,317.362275753452,272.715130709815,286.763649621577,288.477357508216,301.896443935347,304.354750360693,294.829305771307,282.534388950078,283.131383040429,258.660591146456,276.577728992335,276.87829229667,296.159206257492,283.596299876987,242.156546546539,274.741776916849,321.456907721917,363.171731898251,305.815732666138,296.176592445355,268.808659649003,285.594267413376,242.444743647855,289.805644363084,319.84974932651,290.253122896743,292.951394299067,272.961252179218,280.784468559719,312.5059341909,286.217425275214,295.592527000394,255.852441737568,269.150360547797,277.552614571171,294.396652746579,308.504541041423,308.265200861438,299.975449510338,291.566209099981,311.587348038384,374.954042008775,339.096224493787,329.081688944471,318.819569967431,305.299226855127,308.393856937042,336.558844587333,204.014297610766,352.419705047414,265.850275869982,300.553670963948,297.092332989184,387.403595273849,289.074799591341,290.725194919331,282.07397387088,376.772522625041,298.063802909304,312.858028540908,391.19055239645,246.702561668109,369.41487951047,294.19654817106,370.542544087232,358.711857811955
,69.5,457.309610023946,342.419844359987,323.928312536817,330.827634988868,321.01172670056,288.594270706812,286.066184669554,262.880134426905,275.707084936233,276.044991178477,246.682861553866,291.186586859618,364.902813982234,325.101867034939,298.233855391714,329.029279930942,325.59925926909,294.386424873683,332.753683824116,285.055977796773,252.009393033266,312.580809672979,372.906941513216,331.902177086391,359.241403917479,352.949164399624,352.459483550114,325.853750858729,332.185378719924,338.423515891656,351.091800898867,303.640661733317,324.633063108719,324.109249740758,332.035224977266,331.093012161658,309.759260139755,297.612637684115,308.80356071256,289.374060179332,305.117342603998,305.163732133958,329.028151356627,312.877800967906,269.33555198454,311.153914871246,358.712401342402,389.818011364536,321.251183527757,313.447252336326,296.763165923315,313.247845355904,270.952289804696,320.44935234705,347.708592320515,320.508871311287,324.697034382009,312.269048606276,308.684353724824,336.942558017669,302.869977733229,315.123128646396,283.283941016119,295.296735484553,305.006732670694,320.178914840664,340.447713333167,340.314433442125,338.210465851753,330.346381463984,354.308845228835,401.54603539556,371.198700874103,361.33552740933,366.346821755666,347.512370632933,346.767456005354,376.871420456169,239.082059911337,393.407321658263,306.833511699726,345.002710920967,335.627445845434,414.916973659446,313.996853828192,318.977792937756,310.834812646708,409.855676405947,328.096632563498,347.361702588885,435.431173061067,282.423026353121,416.095027902792,334.337150296121,406.573375123836,384.937593068891
