,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Unkn,,83,1877.97194675459,77,86,
,A02,SYBR,,Unkn,,82.5,1949.60952255168,77,86,
,A03,SYBR,,Unkn,,82.5,1871.69273300122,76.5,86,
,A04,SYBR,,Unkn,,82.5,1962.69111262277,76.5,86,
,A05,SYBR,,Unkn,,82.5,1765.99869628411,76.5,86,
,A06,SYBR,,Unkn,,82.5,1779.14528181454,77,86,
,A07,SYBR,,Unkn,,83,1341.20170737639,77,86,
,A08,SYBR,,Unkn,,82.5,1307.04021841591,77,86,
,A09,SYBR,,Unkn,,82.5,1359.42812909498,77,86,
,A10,SYBR,,Unkn,,83,1275.20063683722,77,86,
,A11,SYBR,,Unkn,,83,1192.1387682512,77,86,
,A12,SYBR,,Unkn,,83,1237.44638435776,77,86,
,B01,SYBR,,Unkn,,82.5,2135.16148059225,76.5,86,
,B02,SYBR,,Unkn,,82.5,2134.63770228296,76.5,86,
,B03,SYBR,,Unkn,,82.5,2025.72090457034,76.5,86,
,B04,SYBR,,Unkn,,82.5,2286.69447361155,77,86,
,B05,SYBR,,Unkn,,82.5,2271.23401619654,74,86,
,B06,SYBR,,Unkn,,82.5,2125.00564933293,75.5,86,
,B07,SYBR,,Unkn,,82.5,1987.06379166423,76,86,
,B08,SYBR,,Unkn,,82.5,2029.47053439836,74,86,
,B09,SYBR,,Unkn,,82.5,1989.13899368387,75,86,
,B10,SYBR,,Unkn,,82.5,1986.3202976274,77,86,
,B11,SYBR,,Unkn,,82.5,2139.94223296239,76.5,86,
,B12,SYBR,,Unkn,,83,1884.83368200866,76.5,86,
,C01,SYBR,,Unkn,,82.5,2254.8994704188,76.5,86,
,C02,SYBR,,Unkn,,82.5,2242.39419073978,76.5,86,
,C03,SYBR,,Unkn,,82.5,2213.96642263415,76.5,86,
,C04,SYBR,,Unkn,,82.5,2363.63887252341,77,86,
,C05,SYBR,,Unkn,,82.5,2311.46845418463,77,86,
,C06,SYBR,,Unkn,,82.5,2419.5953943784,75.5,86,
,C07,SYBR,,Unkn,,82.5,2253.52781252458,76.5,86,
,C08,SYBR,,Unkn,,82.5,2067.26089591407,77,86,
,C09,SYBR,,Unkn,,82.5,2213.82125755041,75,86,
,C10,SYBR,,Unkn,,82.5,2070.27106628485,77,86,
,C11,SYBR,,Unkn,,82.5,2157.69266141828,77,86,
,C12,SYBR,,Unkn,,83,2012.6898351809,76.5,86,
,D01,SYBR,,Unkn,,83,1587.74251950487,76.5,86,
,D02,SYBR,,Unkn,,82.5,1540.95318210511,77,86,
,D03,SYBR,,Unkn,,82.5,1658.67638482246,77,86,
,D04,SYBR,,Unkn,,82.5,1637.82353689949,77,86,
,D05,SYBR,,Unkn,,82.5,1639.97527351886,77,86,
,D06,SYBR,,Unkn,,82.5,1677.21397565403,77,86,
,D07,SYBR,,Unkn,,82.5,2098.53152840981,76.5,86,
,D08,SYBR,,Unkn,,82.5,2121.81746188119,76.5,86,
,D09,SYBR,,Unkn,,82.5,1963.33755987032,77,86,
,D10,SYBR,,Unkn,,82.5,1903.39712381757,76.5,86,
,D11,SYBR,,Unkn,,83,2124.49989323078,77,86,
,D12,SYBR,,Unkn,,83,2293.80493176763,76.5,86,
,E01,SYBR,,Unkn,,82.5,1684.63258108198,76.5,86,
,E02,SYBR,,Unkn,,82.5,1675.91403438566,76,86,
,E03,SYBR,,Unkn,,82.5,1739.96419122871,77,86,
,E04,SYBR,,Unkn,,82.5,1770.40457513596,77,86,
,E05,SYBR,,Unkn,,82.5,1538.28321601373,77.5,86,
,E06,SYBR,,Unkn,,82.5,1866.43026252706,77,86,
,E07,SYBR,,Unkn,,82.5,1808.01365196534,76.5,86,
,E08,SYBR,,Unkn,,82.5,1917.63128158957,77,86,
,E09,SYBR,,Unkn,,82.5,1824.63476757633,77,86,
,E10,SYBR,,Unkn,,82.5,1771.87546289416,77,86,
,E11,SYBR,,Unkn,,82.5,1825.41088984178,77,86,
,E12,SYBR,,Unkn,,83,1875.21840723997,77,86,
,F01,SYBR,,Unkn,,82.5,1627.79525143228,77,86,
,F02,SYBR,,Unkn,,82.5,1648.09747393732,76,86,
,F03,SYBR,,Unkn,,82.5,1565.28281114833,77,86,
,F04,SYBR,,Unkn,,82.5,1663.30492167582,77,86,
,F05,SYBR,,Unkn,,82.5,1729.71040626631,77,86,
,F06,SYBR,,Unkn,,82.5,1744.52297036904,76.5,86,
,F07,SYBR,,Unkn,,82.5,2144.95944423935,76.5,86,
,F08,SYBR,,Unkn,,82.5,2155.72260563573,76.5,86,
,F09,SYBR,,Unkn,,82.5,2060.66587345691,76.5,86,
,F10,SYBR,,Unkn,,82.5,2010.8900219691,77,86,
,F11,SYBR,,Unkn,,82.5,2218.52421348234,76.5,86,
,F12,SYBR,,Unkn,,82.5,2296.63308147281,77,86,
,G01,SYBR,,Unkn,,82.5,2580.57291091357,76,86,
,G02,SYBR,,Unkn,,82.5,2560.235231382,76,86,
,G03,SYBR,,Unkn,,82.5,2732.25034666751,76,86,
,G04,SYBR,,Unkn,,82.5,2570.584714296,77,86,
,G05,SYBR,,Unkn,,82.5,2557.88900049645,77,86,
,G06,SYBR,,Unkn,,82.5,2612.66783302199,76,86,
,G07,SYBR,,Unkn,,82.5,2238.22864901559,73.5,86,
,G08,SYBR,,Unkn,,82.5,2570.70074808194,76.5,86,
,G09,SYBR,,Unkn,,82.5,2449.68479476437,75.5,86,
,G10,SYBR,,Unkn,,82.5,2425.00832192928,76,86,
,G11,SYBR,,Unkn,,82.5,2368.8984522519,75,86,
,G12,SYBR,,Unkn,,82.5,2547.02650485084,76.5,86,
,H01,SYBR,,Unkn,,82.5,1988.05814332476,76,86,
,H02,SYBR,,Unkn,,82.5,2040.63712562261,75,86,
,H03,SYBR,,Unkn,,82.5,2046.4018529889,76.5,86,
,H04,SYBR,,Unkn,,82.5,2279.29995715741,76.5,86,
,H05,SYBR,,Unkn,,82.5,1964.44341413778,77,86,
,H06,SYBR,,Unkn,,82.5,2111.12153065908,76.5,86,
,H07,SYBR,,Unkn,,82.5,2705.42104358897,77,86,
,H08,SYBR,,Unkn,,82.5,2322.02108037056,73.5,86,
,H09,SYBR,,Unkn,,82.5,2717.83738336148,76.5,86,
,H10,SYBR,,Unkn,,82.5,2426.83787669401,77,86,
,H11,SYBR,,Unkn,,82.5,2620.11166967545,76.5,86,
,H12,SYBR,,Unkn,,82.5,2564.24447566582,76.5,86,
