,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,27.1008716211461,27.1008716211461,0,NaN,NaN,NaN,0,55,
,A02,SYBR,,Unkn,,,27.0975599818899,27.0975599818899,0,NaN,NaN,NaN,0,55,
,A03,SYBR,,Unkn,,,27.4695099547483,27.4695099547483,0,NaN,NaN,NaN,0,55,
,A04,SYBR,,Unkn,,,27.4202777485433,27.4202777485433,0,NaN,NaN,NaN,0,55,
,A05,SYBR,,Unkn,,,28.052537867021,28.052537867021,0,NaN,NaN,NaN,0,55,
,A06,SYBR,,Unkn,,,28.0374493686321,28.0374493686321,0,NaN,NaN,NaN,0,55,
,A07,SYBR,,Unkn,,,31.5830261984808,31.5830261984808,0,NaN,NaN,NaN,0,55,
,A08,SYBR,,Unkn,,,31.5320964251068,31.5320964251068,0,NaN,NaN,NaN,0,55,
,A09,SYBR,,Unkn,,,31.399898663876,31.399898663876,0,NaN,NaN,NaN,0,55,
,A10,SYBR,,Unkn,,,31.8108463930759,31.8108463930759,0,NaN,NaN,NaN,0,55,
,A11,SYBR,,Unkn,,,32.7298013710337,32.7298013710337,0,NaN,NaN,NaN,0,55,
,A12,SYBR,,Unkn,,,32.5873875466224,32.5873875466224,0,NaN,NaN,NaN,0,55,
,B01,SYBR,,Unkn,,,23.2363230676019,23.2363230676019,0,NaN,NaN,NaN,0,55,
,B02,SYBR,,Unkn,,,23.2452427564338,23.2452427564338,0,NaN,NaN,NaN,0,55,
,B03,SYBR,,Unkn,,,22.4217684964545,22.4217684964545,0,NaN,NaN,NaN,0,55,
,B04,SYBR,,Unkn,,,22.3052142866678,22.3052142866678,0,NaN,NaN,NaN,0,55,
,B05,SYBR,,Unkn,,,22.0041893593783,22.0041893593783,0,NaN,NaN,NaN,0,55,
,B06,SYBR,,Unkn,,,22.1504955462074,22.1504955462074,0,NaN,NaN,NaN,0,55,
,B07,SYBR,,Unkn,,,23.8393946923775,23.8393946923775,0,NaN,NaN,NaN,0,55,
,B08,SYBR,,Unkn,,,23.7444975430797,23.7444975430797,0,NaN,NaN,NaN,0,55,
,B09,SYBR,,Unkn,,,24.4123951377683,24.4123951377683,0,NaN,NaN,NaN,0,55,
,B10,SYBR,,Unkn,,,24.4125722758245,24.4125722758245,0,NaN,NaN,NaN,0,55,
,B11,SYBR,,Unkn,,,23.8077747150786,23.8077747150786,0,NaN,NaN,NaN,0,55,
,B12,SYBR,,Unkn,,,23.9894997354732,23.9894997354732,0,NaN,NaN,NaN,0,55,
,C01,SYBR,,Unkn,,,23.4901605736485,23.4901605736485,0,NaN,NaN,NaN,0,55,
,C02,SYBR,,Unkn,,,23.4385272704187,23.4385272704187,0,NaN,NaN,NaN,0,55,
,C03,SYBR,,Unkn,,,22.3315233997787,22.3315233997787,0,NaN,NaN,NaN,0,55,
,C04,SYBR,,Unkn,,,22.2472931313761,22.2472931313761,0,NaN,NaN,NaN,0,55,
,C05,SYBR,,Unkn,,,21.7764723855836,21.7764723855836,0,NaN,NaN,NaN,0,55,
,C06,SYBR,,Unkn,,,21.7653882003161,21.7653882003161,0,NaN,NaN,NaN,0,55,
,C07,SYBR,,Unkn,,,23.341453557943,23.341453557943,0,NaN,NaN,NaN,0,55,
,C08,SYBR,,Unkn,,,23.4637799914989,23.4637799914989,0,NaN,NaN,NaN,0,55,
,C09,SYBR,,Unkn,,,22.6151801946331,22.6151801946331,0,NaN,NaN,NaN,0,55,
,C10,SYBR,,Unkn,,,22.6975104442973,22.6975104442973,0,NaN,NaN,NaN,0,55,
,C11,SYBR,,Unkn,,,22.3822576929412,22.3822576929412,0,NaN,NaN,NaN,0,55,
,C12,SYBR,,Unkn,,,22.3953168429038,22.3953168429038,0,NaN,NaN,NaN,0,55,
,D01,SYBR,,Unkn,,,29.1828615397406,29.1828615397406,0,NaN,NaN,NaN,0,55,
,D02,SYBR,,Unkn,,,29.1412260549011,29.1412260549011,0,NaN,NaN,NaN,0,55,
,D03,SYBR,,Unkn,,,28.4359722257893,28.4359722257893,0,NaN,NaN,NaN,0,55,
,D04,SYBR,,Unkn,,,28.5681053948341,28.5681053948341,0,NaN,NaN,NaN,0,55,
,D05,SYBR,,Unkn,,,28.7321335964114,28.7321335964114,0,NaN,NaN,NaN,0,55,
,D06,SYBR,,Unkn,,,28.7717849227149,28.7717849227149,0,NaN,NaN,NaN,0,55,
,D07,SYBR,,Unkn,,,23.3309992628991,23.3309992628991,0,NaN,NaN,NaN,0,55,
,D08,SYBR,,Unkn,,,23.3315455797833,23.3315455797833,0,NaN,NaN,NaN,0,55,
,D09,SYBR,,Unkn,,,24.3537720630629,24.3537720630629,0,NaN,NaN,NaN,0,55,
,D10,SYBR,,Unkn,,,24.4399286424851,24.4399286424851,0,NaN,NaN,NaN,0,55,
,D11,SYBR,,Unkn,,,21.8661013055637,21.8661013055637,0,NaN,NaN,NaN,0,55,
,D12,SYBR,,Unkn,,,21.8023443748029,21.8023443748029,0,NaN,NaN,NaN,0,55,
,E01,SYBR,,Unkn,,,28.9793509210464,28.9793509210464,0,NaN,NaN,NaN,0,55,
,E02,SYBR,,Unkn,,,29.0000647365787,29.0000647365787,0,NaN,NaN,NaN,0,55,
,E03,SYBR,,Unkn,,,27.4409878627197,27.4409878627197,0,NaN,NaN,NaN,0,55,
,E04,SYBR,,Unkn,,,27.486033605945,27.486033605945,0,NaN,NaN,NaN,0,55,
,E05,SYBR,,Unkn,,,28.1465386218937,28.1465386218937,0,NaN,NaN,NaN,0,55,
,E06,SYBR,,Unkn,,,27.7533291720395,27.7533291720395,0,NaN,NaN,NaN,0,55,
,E07,SYBR,,Unkn,,,27.1032622242389,27.1032622242389,0,NaN,NaN,NaN,0,55,
,E08,SYBR,,Unkn,,,27.0496612714815,27.0496612714815,0,NaN,NaN,NaN,0,55,
,E09,SYBR,,Unkn,,,28.1448164669769,28.1448164669769,0,NaN,NaN,NaN,0,55,
,E10,SYBR,,Unkn,,,28.2126661614735,28.2126661614735,0,NaN,NaN,NaN,0,55,
,E11,SYBR,,Unkn,,,26.5289185943677,26.5289185943677,0,NaN,NaN,NaN,0,55,
,E12,SYBR,,Unkn,,,26.4877142260557,26.4877142260557,0,NaN,NaN,NaN,0,55,
,F01,SYBR,,Unkn,,,29.098432665414,29.098432665414,0,NaN,NaN,NaN,0,55,
,F02,SYBR,,Unkn,,,29.0682923739742,29.0682923739742,0,NaN,NaN,NaN,0,55,
,F03,SYBR,,Unkn,,,28.7058560236709,28.7058560236709,0,NaN,NaN,NaN,0,55,
,F04,SYBR,,Unkn,,,28.7588824821612,28.7588824821612,0,NaN,NaN,NaN,0,55,
,F05,SYBR,,Unkn,,,28.2155604452478,28.2155604452478,0,NaN,NaN,NaN,0,55,
,F06,SYBR,,Unkn,,,28.2118758180097,28.2118758180097,0,NaN,NaN,NaN,0,55,
,F07,SYBR,,Unkn,,,23.4136181751023,23.4136181751023,0,NaN,NaN,NaN,0,55,
,F08,SYBR,,Unkn,,,23.4205687948499,23.4205687948499,0,NaN,NaN,NaN,0,55,
,F09,SYBR,,Unkn,,,25.551390494543,25.551390494543,0,NaN,NaN,NaN,0,55,
,F10,SYBR,,Unkn,,,25.4968940183559,25.4968940183559,0,NaN,NaN,NaN,0,55,
,F11,SYBR,,Unkn,,,22.9735372902631,22.9735372902631,0,NaN,NaN,NaN,0,55,
,F12,SYBR,,Unkn,,,22.8901171629115,22.8901171629115,0,NaN,NaN,NaN,0,55,
,G01,SYBR,,Unkn,,,19.2463666825178,19.2463666825178,0,NaN,NaN,NaN,0,55,
,G02,SYBR,,Unkn,,,19.2101363158351,19.2101363158351,0,NaN,NaN,NaN,0,55,
,G03,SYBR,,Unkn,,,18.8969468422909,18.8969468422909,0,NaN,NaN,NaN,0,55,
,G04,SYBR,,Unkn,,,18.9998472161595,18.9998472161595,0,NaN,NaN,NaN,0,55,
,G05,SYBR,,Unkn,,,19.1045031751803,19.1045031751803,0,NaN,NaN,NaN,0,55,
,G06,SYBR,,Unkn,,,19.063478589472,19.063478589472,0,NaN,NaN,NaN,0,55,
,G07,SYBR,,Unkn,,,20.2225278226885,20.2225278226885,0,NaN,NaN,NaN,0,55,
,G08,SYBR,,Unkn,,,20.10088133471,20.10088133471,0,NaN,NaN,NaN,0,55,
,G09,SYBR,,Unkn,,,19.2021805678299,19.2021805678299,0,NaN,NaN,NaN,0,55,
,G10,SYBR,,Unkn,,,19.2496159316131,19.2496159316131,0,NaN,NaN,NaN,0,55,
,G11,SYBR,,Unkn,,,19.0996774724896,19.0996774724896,0,NaN,NaN,NaN,0,55,
,G12,SYBR,,Unkn,,,19.0523612748858,19.0523612748858,0,NaN,NaN,NaN,0,55,
,H01,SYBR,,Unkn,,,24.5458056666266,24.5458056666266,0,NaN,NaN,NaN,0,55,
,H02,SYBR,,Unkn,,,24.5528630765431,24.5528630765431,0,NaN,NaN,NaN,0,55,
,H03,SYBR,,Unkn,,,22.8624649424269,22.8624649424269,0,NaN,NaN,NaN,0,55,
,H04,SYBR,,Unkn,,,22.7975968639216,22.7975968639216,0,NaN,NaN,NaN,0,55,
,H05,SYBR,,Unkn,,,25.3944923809525,25.3944923809525,0,NaN,NaN,NaN,0,55,
,H06,SYBR,,Unkn,,,25.3084195613508,25.3084195613508,0,NaN,NaN,NaN,0,55,
,H07,SYBR,,Unkn,,,18.8196196206903,18.8196196206903,0,NaN,NaN,NaN,0,55,
,H08,SYBR,,Unkn,,,18.9643043003022,18.9643043003022,0,NaN,NaN,NaN,0,55,
,H09,SYBR,,Unkn,,,17.849666508846,17.849666508846,0,NaN,NaN,NaN,0,55,
,H10,SYBR,,Unkn,,,17.8389331150065,17.8389331150065,0,NaN,NaN,NaN,0,55,
,H11,SYBR,,Unkn,,,18.049763683677,18.049763683677,0,NaN,NaN,NaN,0,55,
,H12,SYBR,,Unkn,,,18.0794319611272,18.0794319611272,0,NaN,NaN,NaN,0,55,
