,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,,,,,,,,,,,,
A,Cq,27.1008716211461,27.0975599818899,27.4695099547483,27.4202777485433,28.052537867021,28.0374493686321,31.5830261984808,31.5320964251068,31.399898663876,31.8108463930759,32.7298013710337,32.5873875466224
A,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,,,,,,,,,,,,
B,Cq,23.2363230676019,23.2452427564338,22.4217684964545,22.3052142866678,22.0041893593783,22.1504955462074,23.8393946923775,23.7444975430797,24.4123951377683,24.4125722758245,23.8077747150786,23.9894997354732
B,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,,,,,,,,,,,,
C,Cq,23.4901605736485,23.4385272704187,22.3315233997787,22.2472931313761,21.7764723855836,21.7653882003161,23.341453557943,23.4637799914989,22.6151801946331,22.6975104442973,22.3822576929412,22.3953168429038
C,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,,,,,,,,,,,,
D,Cq,29.1828615397406,29.1412260549011,28.4359722257893,28.5681053948341,28.7321335964114,28.7717849227149,23.3309992628991,23.3315455797833,24.3537720630629,24.4399286424851,21.8661013055637,21.8023443748029
D,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,,,,,,,,,,,,
E,Cq,28.9793509210464,29.0000647365787,27.4409878627197,27.486033605945,28.1465386218937,27.7533291720395,27.1032622242389,27.0496612714815,28.1448164669769,28.2126661614735,26.5289185943677,26.4877142260557
E,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,,,,,,,,,,,,
F,Cq,29.098432665414,29.0682923739742,28.7058560236709,28.7588824821612,28.2155604452478,28.2118758180097,23.4136181751023,23.4205687948499,25.551390494543,25.4968940183559,22.9735372902631,22.8901171629115
F,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,,,,,,,,,,,,
G,Cq,19.2463666825178,19.2101363158351,18.8969468422909,18.9998472161595,19.1045031751803,19.063478589472,20.2225278226885,20.10088133471,19.2021805678299,19.2496159316131,19.0996774724896,19.0523612748858
G,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,,,,,,,,,,,,
H,Cq,24.5458056666266,24.5528630765431,22.8624649424269,22.7975968639216,25.3944923809525,25.3084195613508,18.8196196206903,18.9643043003022,17.849666508846,17.8389331150065,18.049763683677,18.0794319611272
H,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
