,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,,27.1008716211461,NaN
,A02,SYBR,,Unkn,,27.0975599818899,NaN
,A03,SYBR,,Unkn,,27.4695099547483,NaN
,A04,SYBR,,Unkn,,27.4202777485433,NaN
,A05,SYBR,,Unkn,,28.052537867021,NaN
,A06,SYBR,,Unkn,,28.0374493686321,NaN
,A07,SYBR,,Unkn,,31.5830261984808,NaN
,A08,SYBR,,Unkn,,31.5320964251068,NaN
,A09,SYBR,,Unkn,,31.399898663876,NaN
,A10,SYBR,,Unkn,,31.8108463930759,NaN
,A11,SYBR,,Unkn,,32.7298013710337,NaN
,A12,SYBR,,Unkn,,32.5873875466224,NaN
,B01,SYBR,,Unkn,,23.2363230676019,NaN
,B02,SYBR,,Unkn,,23.2452427564338,NaN
,B03,SYBR,,Unkn,,22.4217684964545,NaN
,B04,SYBR,,Unkn,,22.3052142866678,NaN
,B05,SYBR,,Unkn,,22.0041893593783,NaN
,B06,SYBR,,Unkn,,22.1504955462074,NaN
,B07,SYBR,,Unkn,,23.8393946923775,NaN
,B08,SYBR,,Unkn,,23.7444975430797,NaN
,B09,SYBR,,Unkn,,24.4123951377683,NaN
,B10,SYBR,,Unkn,,24.4125722758245,NaN
,B11,SYBR,,Unkn,,23.8077747150786,NaN
,B12,SYBR,,Unkn,,23.9894997354732,NaN
,C01,SYBR,,Unkn,,23.4901605736485,NaN
,C02,SYBR,,Unkn,,23.4385272704187,NaN
,C03,SYBR,,Unkn,,22.3315233997787,NaN
,C04,SYBR,,Unkn,,22.2472931313761,NaN
,C05,SYBR,,Unkn,,21.7764723855836,NaN
,C06,SYBR,,Unkn,,21.7653882003161,NaN
,C07,SYBR,,Unkn,,23.341453557943,NaN
,C08,SYBR,,Unkn,,23.4637799914989,NaN
,C09,SYBR,,Unkn,,22.6151801946331,NaN
,C10,SYBR,,Unkn,,22.6975104442973,NaN
,C11,SYBR,,Unkn,,22.3822576929412,NaN
,C12,SYBR,,Unkn,,22.3953168429038,NaN
,D01,SYBR,,Unkn,,29.1828615397406,NaN
,D02,SYBR,,Unkn,,29.1412260549011,NaN
,D03,SYBR,,Unkn,,28.4359722257893,NaN
,D04,SYBR,,Unkn,,28.5681053948341,NaN
,D05,SYBR,,Unkn,,28.7321335964114,NaN
,D06,SYBR,,Unkn,,28.7717849227149,NaN
,D07,SYBR,,Unkn,,23.3309992628991,NaN
,D08,SYBR,,Unkn,,23.3315455797833,NaN
,D09,SYBR,,Unkn,,24.3537720630629,NaN
,D10,SYBR,,Unkn,,24.4399286424851,NaN
,D11,SYBR,,Unkn,,21.8661013055637,NaN
,D12,SYBR,,Unkn,,21.8023443748029,NaN
,E01,SYBR,,Unkn,,28.9793509210464,NaN
,E02,SYBR,,Unkn,,29.0000647365787,NaN
,E03,SYBR,,Unkn,,27.4409878627197,NaN
,E04,SYBR,,Unkn,,27.486033605945,NaN
,E05,SYBR,,Unkn,,28.1465386218937,NaN
,E06,SYBR,,Unkn,,27.7533291720395,NaN
,E07,SYBR,,Unkn,,27.1032622242389,NaN
,E08,SYBR,,Unkn,,27.0496612714815,NaN
,E09,SYBR,,Unkn,,28.1448164669769,NaN
,E10,SYBR,,Unkn,,28.2126661614735,NaN
,E11,SYBR,,Unkn,,26.5289185943677,NaN
,E12,SYBR,,Unkn,,26.4877142260557,NaN
,F01,SYBR,,Unkn,,29.098432665414,NaN
,F02,SYBR,,Unkn,,29.0682923739742,NaN
,F03,SYBR,,Unkn,,28.7058560236709,NaN
,F04,SYBR,,Unkn,,28.7588824821612,NaN
,F05,SYBR,,Unkn,,28.2155604452478,NaN
,F06,SYBR,,Unkn,,28.2118758180097,NaN
,F07,SYBR,,Unkn,,23.4136181751023,NaN
,F08,SYBR,,Unkn,,23.4205687948499,NaN
,F09,SYBR,,Unkn,,25.551390494543,NaN
,F10,SYBR,,Unkn,,25.4968940183559,NaN
,F11,SYBR,,Unkn,,22.9735372902631,NaN
,F12,SYBR,,Unkn,,22.8901171629115,NaN
,G01,SYBR,,Unkn,,19.2463666825178,NaN
,G02,SYBR,,Unkn,,19.2101363158351,NaN
,G03,SYBR,,Unkn,,18.8969468422909,NaN
,G04,SYBR,,Unkn,,18.9998472161595,NaN
,G05,SYBR,,Unkn,,19.1045031751803,NaN
,G06,SYBR,,Unkn,,19.063478589472,NaN
,G07,SYBR,,Unkn,,20.2225278226885,NaN
,G08,SYBR,,Unkn,,20.10088133471,NaN
,G09,SYBR,,Unkn,,19.2021805678299,NaN
,G10,SYBR,,Unkn,,19.2496159316131,NaN
,G11,SYBR,,Unkn,,19.0996774724896,NaN
,G12,SYBR,,Unkn,,19.0523612748858,NaN
,H01,SYBR,,Unkn,,24.5458056666266,NaN
,H02,SYBR,,Unkn,,24.5528630765431,NaN
,H03,SYBR,,Unkn,,22.8624649424269,NaN
,H04,SYBR,,Unkn,,22.7975968639216,NaN
,H05,SYBR,,Unkn,,25.3944923809525,NaN
,H06,SYBR,,Unkn,,25.3084195613508,NaN
,H07,SYBR,,Unkn,,18.8196196206903,NaN
,H08,SYBR,,Unkn,,18.9643043003022,NaN
,H09,SYBR,,Unkn,,17.849666508846,NaN
,H10,SYBR,,Unkn,,17.8389331150065,NaN
,H11,SYBR,,Unkn,,18.049763683677,NaN
,H12,SYBR,,Unkn,,18.0794319611272,NaN
