,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,,13414.3165116852,,Unknown,Unassigned,False
,A02,SYBR,,Unkn,,12645.8147152639,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,,11993.4927204528,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,,12669.0045793752,,Unknown,Unassigned,False
,A05,SYBR,,Unkn,,11975.7562352084,,Unknown,Unassigned,False
,A06,SYBR,,Unkn,,11957.1678767691,,Unknown,Unassigned,False
,A07,SYBR,,Unkn,,12158.1841875945,,Unknown,Unassigned,False
,A08,SYBR,,Unkn,,11612.1639679157,,Unknown,Unassigned,False
,A09,SYBR,,Unkn,,11480.1199632391,,Unknown,Unassigned,False
,A10,SYBR,,Unkn,,11320.0228991884,,Unknown,Unassigned,False
,A11,SYBR,,Unkn,,11338.1476384547,,Unknown,Unassigned,False
,A12,SYBR,,Unkn,,11899.8322919818,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,,11538.3171837874,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,,11265.8018723612,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,,11033.1588009359,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,,11933.1281395565,,Unknown,Unassigned,False
,B05,SYBR,,Unkn,,12142.1856492431,,Unknown,Unassigned,False
,B06,SYBR,,Unkn,,11469.4079817072,,Unknown,Unassigned,False
,B07,SYBR,,Unkn,,11432.9731566364,,Unknown,Unassigned,False
,B08,SYBR,,Unkn,,11398.5633830204,,Unknown,Unassigned,False
,B09,SYBR,,Unkn,,11233.547922033,,Unknown,Unassigned,False
,B10,SYBR,,Unkn,,11360.2363315588,,Unknown,Unassigned,False
,B11,SYBR,,Unkn,,11183.7100047074,,Unknown,Unassigned,False
,B12,SYBR,,Unkn,,11059.3884720007,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,,11649.6298296128,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,,12178.0176069338,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,,11932.2990163398,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,,12519.7016000494,,Unknown,Unassigned,False
,C05,SYBR,,Unkn,,12060.6193568139,,Unknown,Unassigned,False
,C06,SYBR,,Unkn,,12737.6976999473,,Unknown,Unassigned,False
,C07,SYBR,,Unkn,,12005.4710652094,,Unknown,Unassigned,False
,C08,SYBR,,Unkn,,11268.8849036192,,Unknown,Unassigned,False
,C09,SYBR,,Unkn,,12106.8217203239,,Unknown,Unassigned,False
,C10,SYBR,,Unkn,,11745.706386946,,Unknown,Unassigned,False
,C11,SYBR,,Unkn,,11866.6450884916,,Unknown,Unassigned,False
,C12,SYBR,,Unkn,,11355.4708716247,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,,11523.0069952047,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,,11520.3982700462,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,,11538.2189565673,,Unknown,Unassigned,False
,D04,SYBR,,Unkn,,11421.4730520983,,Unknown,Unassigned,False
,D05,SYBR,,Unkn,,11786.9377372284,,Unknown,Unassigned,False
,D06,SYBR,,Unkn,,11529.4434360578,,Unknown,Unassigned,False
,D07,SYBR,,Unkn,,12275.5347474411,,Unknown,Unassigned,False
,D08,SYBR,,Unkn,,12150.9591473975,,Unknown,Unassigned,False
,D09,SYBR,,Unkn,,11975.5982101119,,Unknown,Unassigned,False
,D10,SYBR,,Unkn,,11861.8331702198,,Unknown,Unassigned,False
,D11,SYBR,,Unkn,,11798.8449892614,,Unknown,Unassigned,False
,D12,SYBR,,Unkn,,12197.3951686349,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,,11935.4917994135,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,,12641.6300008105,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,,11640.691402981,,Unknown,Unassigned,False
,E04,SYBR,,Unkn,,12337.7321218834,,Unknown,Unassigned,False
,E05,SYBR,,Unkn,,10704.8521207969,,Unknown,Unassigned,False
,E06,SYBR,,Unkn,,12390.3097621381,,Unknown,Unassigned,False
,E07,SYBR,,Unkn,,12752.6128578098,,Unknown,Unassigned,False
,E08,SYBR,,Unkn,,12464.095577733,,Unknown,Unassigned,False
,E09,SYBR,,Unkn,,12790.5441950889,,Unknown,Unassigned,False
,E10,SYBR,,Unkn,,12070.3481895541,,Unknown,Unassigned,False
,E11,SYBR,,Unkn,,12095.2268269366,,Unknown,Unassigned,False
,E12,SYBR,,Unkn,,12592.1220701646,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,,11435.4405169562,,Unknown,Unassigned,False
,F02,SYBR,,Unkn,,12066.8801304898,,Unknown,Unassigned,False
,F03,SYBR,,Unkn,,10924.240358724,,Unknown,Unassigned,False
,F04,SYBR,,Unkn,,11795.8834758141,,Unknown,Unassigned,False
,F05,SYBR,,Unkn,,11617.6381332641,,Unknown,Unassigned,False
,F06,SYBR,,Unkn,,12048.2790549164,,Unknown,Unassigned,False
,F07,SYBR,,Unkn,,12393.6209791783,,Unknown,Unassigned,False
,F08,SYBR,,Unkn,,12673.9104366121,,Unknown,Unassigned,False
,F09,SYBR,,Unkn,,12040.6203925881,,Unknown,Unassigned,False
,F10,SYBR,,Unkn,,11979.4401649583,,Unknown,Unassigned,False
,F11,SYBR,,Unkn,,11775.1449522619,,Unknown,Unassigned,False
,F12,SYBR,,Unkn,,13006.5093334426,,Unknown,Unassigned,False
,G01,SYBR,,Unkn,,12661.0235794717,,Unknown,Unassigned,False
,G02,SYBR,,Unkn,,12814.3729820099,,Unknown,Unassigned,False
,G03,SYBR,,Unkn,,13389.9064069482,,Unknown,Unassigned,False
,G04,SYBR,,Unkn,,12742.5192100881,,Unknown,Unassigned,False
,G05,SYBR,,Unkn,,12611.6435155911,,Unknown,Unassigned,False
,G06,SYBR,,Unkn,,13465.2212150436,,Unknown,Unassigned,False
,G07,SYBR,,Unkn,,12975.8949582093,,Unknown,Unassigned,False
,G08,SYBR,,Unkn,,13012.3067060495,,Unknown,Unassigned,False
,G09,SYBR,,Unkn,,12598.4368170272,,Unknown,Unassigned,False
,G10,SYBR,,Unkn,,12082.7967716164,,Unknown,Unassigned,False
,G11,SYBR,,Unkn,,12237.3804086437,,Unknown,Unassigned,False
,G12,SYBR,,Unkn,,11374.2867021739,,Unknown,Unassigned,False
,H01,SYBR,,Unkn,,11299.8171355413,,Unknown,Unassigned,False
,H02,SYBR,,Unkn,,12077.8512857213,,Unknown,Unassigned,False
,H03,SYBR,,Unkn,,12108.1335264689,,Unknown,Unassigned,False
,H04,SYBR,,Unkn,,11535.4777186062,,Unknown,Unassigned,False
,H05,SYBR,,Unkn,,11566.191876187,,Unknown,Unassigned,False
,H06,SYBR,,Unkn,,12726.1614756271,,Unknown,Unassigned,False
,H07,SYBR,,Unkn,,12086.8733666068,,Unknown,Unassigned,False
,H08,SYBR,,Unkn,,12682.5410359186,,Unknown,Unassigned,False
,H09,SYBR,,Unkn,,13381.8290539208,,Unknown,Unassigned,False
,H10,SYBR,,Unkn,,12153.3729394419,,Unknown,Unassigned,False
,H11,SYBR,,Unkn,,12794.5520762864,,Unknown,Unassigned,False
,H12,SYBR,,Unkn,,12210.1363334595,,Unknown,Unassigned,False
