,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,65,153.245101504373,110.135943598387,109.119034863842,117.535499179048,94.8007851724378,92.4561794007368,122.996191052006,79.763384830389,87.3676547110872,85.6049982103032,80.3171603656306,132.118671577721,108.868321830397,96.0209272720062,91.5645277823273,98.1287512662802,101.109993781735,86.3539417207553,107.191361340709,89.0918115234722,84.3293146406022,113.093474703202,79.1929873114959,91.7575113887033,135.573516393794,107.54975002541,104.729701539833,99.9623613311423,103.185722380671,101.95022899772,101.497692937208,89.9602203235954,99.4661082192652,86.1788372845745,109.191048533791,105.444175842842,127.181704554957,113.761473634126,101.726068277073,102.317186156802,100.643243103868,104.374184223906,105.901427875222,98.9298701300645,87.0147301962538,92.3949422383635,86.7021665897269,115.380546127465,132.052556106869,113.161063798444,98.848561152457,115.848298106137,85.1659228426051,104.882375985221,116.363974989315,102.225850906168,92.7006450708705,84.1830314782633,103.01975062291,112.843877906267,122.118545617525,110.26568277354,105.708845108951,102.912803603254,108.146007397227,110.063749197032,108.188013660261,103.698675218602,89.4218811574488,95.5642919374254,83.6782825410946,106.357154807609,129.631139764533,119.98188014684,103.159924502758,99.6210700107986,107.933831469988,125.342553909654,115.1920150452,104.527919725743,104.522217637949,93.4252864979289,102.872015924257,118.388336341695,91.051170803416,112.562613668031,112.080570149984,98.2642077256132,108.812199455943,109.99095308762,101.129431873394,104.186872218614,118.593832339499,105.042463003251,110.981059203858,127.606449402661
,65.5,332.031053259475,238.627877796509,236.424575538319,254.660248221274,205.401701206948,200.32172203493,266.491747279349,172.820667132511,189.296585207353,185.477496122322,174.020514125532,286.257121751722,235.881363965861,208.045342422677,198.389810195043,212.612294410275,219.071653193758,187.100207061639,232.247949571537,193.032258300854,182.713515054642,245.035861856938,171.584805841581,198.807941342188,293.742618853223,233.024458388383,226.914353336304,216.585116217477,223.569065158123,220.892162828391,219.911668030624,194.913810701121,215.509901141743,186.720814116581,236.580605156549,228.462380992824,275.560359869069,246.48319287394,220.406481266991,221.687236673072,218.06036005838,226.144065818462,229.453093729644,214.348051948471,188.531915425219,200.189041516452,187.854694277738,249.991183276169,286.113871564879,245.182304896626,214.171882496991,251.004645896635,184.526166158973,227.245147967973,252.121945810181,221.489343630035,200.851397653553,182.396568202901,223.209459682972,244.495068796912,264.590182171302,238.908979342671,229.035831069392,222.977741140387,234.316349360653,238.471456593569,234.407362930571,224.680462973634,193.747409174474,207.05596586442,181.3029455057,230.440502083152,280.867469489812,259.960740318154,223.513169755974,215.845651690058,233.856634851646,271.575533470916,249.582699264606,226.47715940578,226.464804882231,202.421454078847,222.889367835891,256.508062073675,197.277536740733,243.885662947403,242.841235324961,212.905783405497,235.759765487878,238.313731689842,219.113769059014,225.738223140332,256.953303402246,227.592003173707,240.458961608363,276.480640372438
,66,306.490203008746,220.271887196781,218.238069727679,235.070998358103,189.601570344871,184.912358801474,245.992382104015,159.526769660779,174.735309422168,171.209996420609,160.63432073126,264.237343155429,217.736643660791,192.041854544009,183.129055564655,196.257502532558,202.219987563469,172.707883441513,214.382722681421,178.183623046935,168.658629281212,226.1869494064,158.385974623001,183.515022777404,271.147032787593,215.099500050815,209.459403079666,199.92472266229,206.371444761344,203.900457995434,202.995385874426,179.920440647189,198.932216438532,172.357674569151,218.382097067583,210.888351685684,254.363409109906,227.522947268249,203.452136554145,204.634372313605,201.286486207732,208.748368447811,211.802855750437,197.859740260127,174.029460392517,184.789884476725,173.404333179451,230.761092254925,264.105112213734,226.322127596882,197.697122304915,231.696596212278,170.331845685202,209.764751970434,232.727949978629,204.451701812343,185.401290141745,168.36606295652,206.03950124582,225.687755812534,244.237091235045,220.531365547081,211.417690217904,205.825607206511,216.292014794449,220.127498394064,216.376027320527,207.397350437197,178.843762314898,191.128583874849,167.356565082182,212.714309615214,259.262279529046,239.963760293681,206.319849005511,199.242140021589,215.867662939984,250.685107819307,230.384030090413,209.05583945149,209.04443527591,186.850572995858,205.744031848511,236.776672683392,182.102341606826,225.125227336065,224.16114029996,196.528415451228,217.624398911887,219.981906175239,202.258863746782,208.373744437229,237.187664678992,210.084926006499,221.96211840772,255.212898805335
,66.5,306.490203008723,220.271887196806,218.238069727678,235.070998358109,189.601570344863,184.912358801468,245.992382104005,159.526769660801,174.735309422168,171.209996420611,160.634320731272,264.237343155395,217.736643660777,192.041854544035,183.129055564657,196.257502532563,202.219987563467,172.707883441529,214.382722681429,178.183623046907,168.658629281204,226.186949406404,158.385974623022,183.515022777398,271.147032787587,215.09950005074,209.459403079682,199.924722662328,206.37144476135,203.900457995413,202.995385874408,179.920440647154,198.932216438537,172.357674569123,218.382097067585,210.888351685681,254.363409109934,227.52294726826,203.452136554169,204.634372313581,201.286486207707,208.748368447825,211.802855750453,197.859740260112,174.029460392486,184.789884476723,173.404333179432,230.761092254942,264.10511221373,226.322127596922,197.6971223049,231.696596212276,170.331845685185,209.764751970493,232.727949978606,204.451701812381,185.401290141757,168.366062956498,206.039501245853,225.687755812566,244.237091235048,220.531365547089,211.417690217905,205.825607206511,216.292014794441,220.127498394081,216.376027320518,207.397350437152,178.843762314896,191.12858387484,167.356565082201,212.714309615273,259.26227952909,239.963760293682,206.319849005511,199.24214002161,215.867662939971,250.685107819336,230.384030090414,209.055839451514,209.044435275838,186.850572995849,205.744031848562,236.776672683406,182.102341606856,225.125227336077,224.161140299992,196.528415451222,217.624398911887,219.981906175263,202.258863746796,208.373744437274,237.187664678984,210.084926006499,221.962118407669,255.212898805349
,67,306.490203008917,220.271887196574,218.238069727697,235.070998358019,189.60157034493,184.912358801504,245.992382104064,159.526769660634,174.735309422201,171.209996420581,160.634320731181,264.237343155684,217.736643660897,192.041854543857,183.129055564642,196.257502532539,202.219987563482,172.707883441376,214.38272268138,178.183623047158,168.658629281246,226.186949406366,158.385974622843,183.515022777476,271.147032787656,215.099500051333,209.459403079538,199.924722662047,206.371444761299,203.900457995575,202.995385874495,179.920440647457,198.932216438518,172.357674569352,218.382097067569,210.888351685694,254.363409109746,227.522947268185,203.452136553979,204.634372313765,201.286486207915,208.748368447717,211.802855750355,197.859740260224,174.029460392709,184.789884476759,173.404333179627,230.761092254828,264.105112213799,226.322127596618,197.697122305005,231.696596212274,170.331845685334,209.76475197007,232.727949978767,204.451701812033,185.401290141667,168.366062956706,206.039501245602,225.687755812327,244.237091235064,220.531365547027,211.417690217887,205.825607206486,216.292014794512,220.127498393937,216.376027320573,207.397350437558,178.843762314927,191.128583874895,167.356565082082,212.714309614795,259.262279528804,239.963760293667,206.319849005557,199.24214002146,215.867662940026,250.685107819091,230.384030090383,209.055839451285,209.04443527636,186.850572995937,205.744031848167,236.776672683278,182.10234160665,225.125227335934,224.161140299762,196.528415451294,217.624398911903,219.981906175071,202.258863746692,208.37374443693,237.187664679103,210.084926006519,221.962118408042,255.212898805163
,67.5,304.903371241192,217.549748578548,216.092259300985,232.93134931492,187.033795325794,183.120570233662,243.590362860313,157.091952546888,172.018308496208,169.807920166168,158.379624527563,262.259713862869,215.009912538634,189.821846720482,181.836176663913,194.079964059133,199.84288716221,171.306400022276,212.806923250987,177.098736830706,167.513677854736,224.123252326331,155.835575876699,180.433270466638,269.44630254382,212.614020152164,207.300347697444,198.197527590932,204.873015134601,201.287479935146,200.919379461182,178.377109105566,195.860889359842,170.301081184547,215.239974095793,208.269429543757,252.4823018462,225.248553179885,201.48838979938,202.55380698103,199.462269852901,207.486420562112,209.696533675059,196.269095454759,172.230009864264,182.104208352166,170.765372616577,228.034221496525,261.852567411588,223.765260060923,195.90912466816,230.241243282977,168.533960721114,208.276095774203,230.812580569434,202.482865925465,182.470306582921,166.273278959203,202.82167523803,222.188768137035,242.380959998808,218.788603644232,210.34077930684,204.432043247474,214.867535093196,218.379275527549,214.609875847531,205.460276445614,176.526519370859,189.294095575145,164.991191942311,209.754547364357,257.219353689997,237.838224534055,203.576178762224,197.41390170735,214.072346751799,247.990077769009,227.849643134005,206.573539933511,206.047152946071,184.385387415307,202.521294167914,233.564940747335,180.78036346522,223.596109321381,222.459613007357,194.382016630749,215.496084249451,217.677672975006,199.968244523974,205.852611419239,233.580006924997,206.636485490531,219.241902027962,252.861747344787
,68,314.253927343611,233.402500897858,228.376783823737,245.339466183365,201.924136273428,192.902311777019,257.582763602141,170.777749215923,187.799353277589,177.148246807691,171.356789480031,274.255214992488,230.950247297797,202.790520927004,189.013522076749,206.550531866784,213.456703885649,178.879616415046,221.779583802437,182.644295908697,173.319431766916,236.22396120443,170.227095929687,198.574375787461,279.724020172308,227.198584036869,219.693350236306,207.967603952498,213.091556563445,216.237094093031,212.761902909734,186.871636786121,214.003823236533,181.725432240154,234.003542493227,223.860467070114,263.812476116672,238.832858366632,212.969156830205,214.505295415639,209.840773374773,214.49435470078,221.59972937634,205.125684080969,182.194503135472,197.616403603304,185.843044338819,244.39476944956,275.347471610811,238.868192918948,205.81055682491,238.284986523939,178.553482331293,216.495906696375,241.884918842252,213.6307767211,199.226570272363,178.206203496136,222.062412483013,243.125826183133,253.335507696594,228.728425084659,216.380941869521,211.941965529157,222.876830395028,228.418501753345,224.651437197625,216.402515366287,189.810338424703,199.444717622704,178.302909897975,226.99242582586,269.210480408822,250.270644464214,219.140525496528,207.418669360103,224.322849856333,263.695817137756,242.699446969384,220.813845589892,223.638909090535,198.385050505308,221.499338210135,252.989666272244,188.072332574625,232.139573648677,232.077736125867,206.776627996525,227.698442494018,230.91679943257,213.083279791519,220.228969265619,254.983748132796,226.89517139095,234.994506421752,267.035619739444
,68.5,335.817015967787,271.513282083218,259.774979479583,275.249058510157,237.921303476292,221.427530655414,291.106599910291,207.317416500619,225.927581988758,201.055297594191,203.671790192269,299.215934062929,268.830507698485,233.516719732816,208.690424076402,237.907124609747,248.124424261707,201.604171867835,244.652616651132,201.773758159757,193.775756359129,264.682985864333,208.503752184612,240.670813755612,301.28019780697,261.060793109511,250.770206359854,233.271448403672,236.748394532319,254.243285924123,242.876736972219,210.962188099954,255.502712545321,213.245142429548,275.420164564389,258.582896516314,287.927204642715,268.548435080893,239.886057226433,244.386957214069,236.272518644739,233.614535611006,252.901762550454,229.297700430347,209.845053691144,235.963160780894,224.285931301353,279.915694895973,304.563504417231,273.328050422856,233.665854227066,260.801635008549,206.171404311882,239.521574087699,268.703367857061,242.665518965597,241.861946086716,208.159373888709,264.37166840363,289.100651349938,278.445501116107,254.20525290759,232.305287662242,234.688995493097,243.977581348236,253.177875401972,250.47441267956,245.15022916126,222.885317825795,227.68763805705,213.954429989641,268.456897616545,297.099376862379,279.540687754688,259.812204192177,236.288381318388,250.011833337976,301.246291711976,277.436467143556,256.46760095104,264.786169511071,234.779200199855,265.437495978556,294.138992467846,208.363284762729,255.324218697901,257.182489604431,237.162333126912,258.722006339436,263.914466116535,246.286217207555,257.346885913321,303.360705239425,274.332747706412,273.739157060118,297.220910285034
,69,357.502292365065,311.453801477834,293.44445343286,309.510690728624,278.470575211529,258.80644314629,326.894490020369,252.458514937575,267.297774726378,235.817995419715,239.489935842793,321.06088076787,307.789694128213,266.052443174161,235.092348664627,274.700148268443,285.963891664399,231.795294199522,272.617216335582,231.493077504869,225.816378185122,293.410726461365,252.9901974742,282.746357712896,321.358527072171,297.622559963979,286.188295508737,265.431839559104,267.122061773113,297.121765168757,279.028063471691,242.405918959361,297.049907857634,253.764315244342,314.411836948751,292.188796827146,310.358618753715,298.085495499083,269.67027298392,278.29388641755,269.463812790702,259.779344881862,290.599444711583,260.725201099644,246.542883566507,277.244869157478,268.344420470842,312.683615301066,333.192791430155,308.338683818318,267.807435572087,290.164827987647,239.811163100659,269.839712597306,300.692073162711,278.027772525071,290.647671480097,247.107550158245,303.897576674759,331.430910646241,303.829803284248,283.452246419898,253.959787611278,265.211267335673,271.664545759656,284.073201505922,281.664557436699,280.032514705928,263.325742606909,265.064384939001,256.133697920968,311.771442595675,326.808128349983,311.048090835641,307.036715190324,274.68839668402,283.047519452219,341.46982758122,314.730889436361,297.989134140089,307.253043398732,277.098667649896,309.956105168462,329.24668629385,235.876238442169,284.739573917126,288.583868495999,271.797878442517,292.171967089304,302.019744003811,284.005781997635,298.526178889779,350.143396917385,321.947951485388,314.097076912254,324.643468692826
,69.5,380.471200176023,351.827321937533,326.701432244823,346.022569140337,321.334188341268,300.862283114022,362.723633039577,301.505403913422,310.085777412787,278.710729902353,278.768821116888,342.955110323491,346.06912481059,301.261935940666,267.260532034585,316.117834113147,323.434145768626,268.588317871298,305.488695023662,268.098494209552,265.177701652226,322.6688511148,299.932398428937,324.646463911776,342.647402909035,337.442101159774,323.230222978603,305.72067791156,302.505569819449,341.596884033539,319.191085097121,280.097606517249,338.820824223946,300.771523303316,351.331486507374,324.868049509099,333.984179553745,328.787612118623,304.009903573677,315.415106890551,308.399329001064,292.144990995119,331.708726160718,298.731988005001,288.745764248505,318.764871471345,314.062667475137,342.291263672042,361.994302833385,345.139713554015,304.68791932797,324.53060933221,276.186123621142,306.424337247681,337.102496069178,318.398997582439,341.355094380169,294.480397940005,339.554989925258,370.060768542661,329.67454633231,314.764178576444,281.95662358347,299.322151543289,305.311005312613,318.963751420383,316.057571900383,320.277971249641,308.84527323765,308.850408834272,300.359904035158,354.842550135997,357.291475871485,343.513801197978,354.075057102094,318.592153987485,320.854710853309,382.175749886238,353.608773414046,342.960160413906,348.319367763044,321.885999235375,351.809376793277,359.452143690195,275.916608834526,317.263551611206,324.083048884628,308.94866442219,324.166658058554,343.51087051789,324.130113061989,338.951281313138,394.030140222647,365.102190937134,353.903530045291,350.957961343969
,70,403.76037217968,388.946170390869,360.722080691191,382.700189496339,360.898050427203,343.950763256097,396.526862759163,348.50047556078,350.803202395074,322.889635192801,317.174445342005,365.581473495149,376.877133623926,334.514124236839,302.238294656038,356.964156531195,359.392264627551,308.862581771242,339.052403977952,306.861845139847,307.576350004626,352.003518316967,341.765290677269,359.512631931943,364.934340694588,375.446104771522,359.662179847297,349.110175561214,340.607339355302,383.023507636716,357.679229220572,319.979662798229,375.674622960525,347.972500268243,382.532413235346,353.43347623906,356.097795756141,356.902976649866,338.401912641762,350.605964693558,346.225592940117,326.973043665736,371.449947001057,337.761043771724,329.885605894577,354.691325442433,353.882567511826,366.545433553076,387.940611009798,379.907950780881,342.252763783378,359.056116522266,310.748867395967,345.757755913305,372.297775714037,358.098976054051,386.209065507923,341.131165482461,369.094230183655,400.815086061487,353.417200608576,345.324806473733,312.308308228347,333.564486340214,339.057014874739,352.265772486676,349.283606711396,360.365603439768,353.655968916165,350.985359456663,339.994252127247,391.999776219183,387.130428382362,375.348861477102,396.351856640856,361.65213265255,357.246241406388,417.90120629693,387.690843194979,385.111665669516,383.642405709658,362.086852038109,385.812352537249,381.831520812028,319.954123164935,348.857206059541,358.237535774851,342.438205858941,352.44319548859,381.928971332634,361.907180907844,376.243550972777,429.477715715507,396.937024943959,388.288530295596,373.232857380586
