,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Unkn,,83.5,2296.23120531573,76,91.5,
,A02,SYBR,,Unkn,,83.5,2281.65617614951,75.5,88,
,A03,SYBR,,Unkn,,83.5,2129.56657377218,75.5,93.5,
,A04,SYBR,,Unkn,,83.5,2239.56580745531,76,88.5,
,A05,SYBR,,Unkn,,83.5,2094.09716748794,74,89,
,A06,SYBR,,Unkn,,83.5,2142.06490332171,74,92,
,A07,SYBR,,Unkn,,83.5,2135.1897021046,75.5,91,
,A08,SYBR,,Unkn,,83.5,2033.12313021133,73.5,90.5,
,A09,SYBR,,Unkn,,83.5,2084.13129811533,75,88.5,
,A10,SYBR,,Unkn,,83.5,1974.70034839115,75.5,90,
,A11,SYBR,,Unkn,,83.5,2051.89691697167,73.5,95,
,A12,SYBR,,Unkn,,83.5,2130.17390967413,76,95,
,B01,SYBR,,Unkn,,83.5,1994.99655992049,76,92,
,B02,SYBR,,Unkn,,83.5,2026.44068300819,74,94,
,B03,SYBR,,Unkn,,83.5,1875.71565505038,74.5,88.5,
,B04,SYBR,,Unkn,,83.5,2095.37702053193,74.5,88,
,B05,SYBR,,Unkn,,83.5,2098.32357157518,73.5,88,
,B06,SYBR,,Unkn,,83.5,1974.30027631608,74,93,
,B07,SYBR,,Unkn,,83.5,1962.17606739629,75.5,90.5,
,B08,SYBR,,Unkn,,83.5,1985.9429322962,74,93,
,B09,SYBR,,Unkn,,83.5,2012.47728297431,74.5,93,
,B10,SYBR,,Unkn,,83.5,2079.90384978578,75.5,91,
,B11,SYBR,,Unkn,,83.5,2039.04193110139,73.5,88,
,B12,SYBR,,Unkn,,83.5,1975.43565409577,75,91.5,
,C01,SYBR,,Unkn,,83.5,2069.15076191476,76,88,
,C02,SYBR,,Unkn,,83.5,2188.1626465012,74.5,91,
,C03,SYBR,,Unkn,,83.5,2074.22786299036,75,93.5,
,C04,SYBR,,Unkn,,83.5,2192.63140737708,74,88.5,
,C05,SYBR,,Unkn,,83.5,2070.68363981098,75,94,
,C06,SYBR,,Unkn,,83.5,2238.61598014524,74,88,
,C07,SYBR,,Unkn,,83.5,2132.34509163752,74,92.5,
,C08,SYBR,,Unkn,,83.5,1978.55592123699,74,88.5,
,C09,SYBR,,Unkn,,83.5,2178.82766904548,74,87.5,
,C10,SYBR,,Unkn,,83.5,2036.7686162963,74.5,91,
,C11,SYBR,,Unkn,,83.5,2147.20975451477,74.5,93.5,
,C12,SYBR,,Unkn,,83.5,1993.95012394434,74.5,92.5,
,D01,SYBR,,Unkn,,83.5,2001.92737187669,75,90,
,D02,SYBR,,Unkn,,83.5,2027.02203912815,74.5,93,
,D03,SYBR,,Unkn,,83.5,1941.17383017384,74,92.5,
,D04,SYBR,,Unkn,,83.5,1960.51562607882,74.5,88,
,D05,SYBR,,Unkn,,83.5,2000.29574351162,74,92,
,D06,SYBR,,Unkn,,83.5,1924.27528139204,75.5,92,
,D07,SYBR,,Unkn,,83.5,2114.21505611177,75,93.5,
,D08,SYBR,,Unkn,,83.5,2118.70152845649,73.5,93,
,D09,SYBR,,Unkn,,83.5,2090.06340268797,73.5,89,
,D10,SYBR,,Unkn,,83.5,2032.11933805575,73.5,88.5,
,D11,SYBR,,Unkn,,83.5,2029.11499222998,76,93,
,D12,SYBR,,Unkn,,83.5,2148.28697759395,76.5,94,
,E01,SYBR,,Unkn,,83.5,2055.52980279369,75.5,95,
,E02,SYBR,,Unkn,,83.5,2192.66649999517,74,92,
,E03,SYBR,,Unkn,,83.5,1961.74789409632,74.5,93.5,
,E04,SYBR,,Unkn,,83.5,2065.73439115251,75,88.5,
,E05,SYBR,,Unkn,,83.5,1749.51268379715,73.5,88,
,E06,SYBR,,Unkn,,83,2049.80878665526,74.5,93,
,E07,SYBR,,Unkn,,83.5,2161.14998379942,75,89.5,
,E08,SYBR,,Unkn,,83.5,2197.1880636288,74,90,
,E09,SYBR,,Unkn,,83.5,2335.27633192064,73.5,94,
,E10,SYBR,,Unkn,,83.5,2163.74745543806,74,92.5,
,E11,SYBR,,Unkn,,83.5,2157.0262312795,73,93,
,E12,SYBR,,Unkn,,83.5,2245.69529859517,75.5,90,
,F01,SYBR,,Unkn,,83.5,1975.19095053746,75.5,90,
,F02,SYBR,,Unkn,,83.5,2042.19625946768,74,87.5,
,F03,SYBR,,Unkn,,83.5,1764.29302207496,75.5,91,
,F04,SYBR,,Unkn,,83.5,1986.94054842069,73.5,92,
,F05,SYBR,,Unkn,,83.5,1918.59132353246,74.5,94,
,F06,SYBR,,Unkn,,83.5,2032.47915149675,74,91.5,
,F07,SYBR,,Unkn,,83.5,2092.28200262662,73.5,88,
,F08,SYBR,,Unkn,,83.5,2179.22306408626,74,88.5,
,F09,SYBR,,Unkn,,83,2163.89503890925,73.5,90,
,F10,SYBR,,Unkn,,83.5,2093.07440558064,74,88.5,
,F11,SYBR,,Unkn,,83.5,2052.30921823621,73.5,88,
,F12,SYBR,,Unkn,,83.5,2220.20583086874,73.5,90.5,
,G01,SYBR,,Unkn,,83,2140.76902220042,75,89.5,
,G02,SYBR,,Unkn,,83,2183.19526166766,74,91.5,
,G03,SYBR,,Unkn,,83.5,2312.60680969508,73.5,93,
,G04,SYBR,,Unkn,,83.5,2146.64325859485,73.5,93,
,G05,SYBR,,Unkn,,83.5,2131.03082393055,74,95,
,G06,SYBR,,Unkn,,83.5,2294.96960872792,74,88,
,G07,SYBR,,Unkn,,83.5,2248.53325374964,73.5,90.5,
,G08,SYBR,,Unkn,,83.5,2243.34302564801,73.5,92,
,G09,SYBR,,Unkn,,83.5,2233.1914495114,73,88,
,G10,SYBR,,Unkn,,83.5,2098.95199252415,73.5,89,
,G11,SYBR,,Unkn,,83.5,2159.33658805417,73.5,89.5,
,G12,SYBR,,Unkn,,83.5,2002.61350981083,73.5,91.5,
,H01,SYBR,,Unkn,,83,1920.85890036831,74.5,88,
,H02,SYBR,,Unkn,,83,1981.78670729733,73.5,88.5,
,H03,SYBR,,Unkn,,83.5,1962.85428968867,74.5,91.5,
,H04,SYBR,,Unkn,,83.5,1929.47137125818,73.5,95,
,H05,SYBR,,Unkn,,83.5,1915.5062144066,73.5,90.5,
,H06,SYBR,,Unkn,,83.5,2146.06066038141,73.5,90.5,
,H07,SYBR,,Unkn,,83.5,2064.9852945153,73.5,92,
,H08,SYBR,,Unkn,,83.5,2114.92205611025,73.5,90.5,
,H09,SYBR,,Unkn,,83.5,2264.74213446298,72.5,95,
,H10,SYBR,,Unkn,,83,2101.65179076543,73,88,
,H11,SYBR,,Unkn,,83.5,2127.00246479242,73.5,94,
,H12,SYBR,,Unkn,,83.5,2066.01462040755,74.5,88,
