,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,65,17221.4972472916,16811.9314286837,15881.3798452138,16617.6614773188,15688.9347782135,15848.4445312232,16183.1258559445,15258.6856852946,15597.6889326576,14859.0584094237,15247.9018251417,16252.7237936675,15423.1137247313,15326.5422898477,14395.3417819761,15884.597283657,15879.908812989,14843.6217072417,15134.834318853,15012.7116234391,15168.5434979569,15571.2531756055,15338.9794215408,15017.3738313731,15916.2105803148,16529.0597071213,15827.2205945087,16417.8314312873,15746.0638185419,16738.162942554,16149.1080215047,15025.2855499028,16376.7905527742,15368.2632698822,16295.9817538211,15271.5494271291,15528.2764385821,15665.1868091828,15097.6858554788,15219.1203202242,15465.8971606133,15134.3030071377,16030.9221245087,15745.2918580566,15556.5737158626,15486.919333031,15324.519757394,15960.6785692909,16029.731037216,16711.9162282827,15146.1726890936,15927.5276910435,14245.1393052165,16317.9291053435,16369.5006198902,16389.2319301702,17171.6754756392,16010.0472792759,16109.6538204952,16681.1600306942,15308.2048624169,15701.4504569772,14169.5656390119,15330.0898552437,15064.028644173,15711.2737691553,15842.8798427161,16355.028103463,16163.4686908685,15804.2750723607,15290.1195883801,16484.5965463584,16433.4063176964,16627.11538708,17550.7485598279,16384.3716002038,16258.468992285,17482.6849244596,17063.7136695344,16856.9261308467,16748.5837266419,15855.3112920973,16276.3265036286,15491.4536640047,14931.4060343043,15503.8425497421,15507.8601757186,15027.7669080251,15085.4149183638,16474.1133283724,16008.016945197,16283.8827008972,17364.218439381,16148.5964251498,16439.4413411497,16001.8849486968
,65.5,17068.2521457872,16701.7954850853,15772.26081035,16500.1259781398,15594.1339930411,15755.9883518225,16060.1296648925,15178.9223004642,15510.3212779466,14773.4534112134,15167.5846647761,16120.6051220898,15314.2454029009,15230.5213625757,14303.7772541938,15786.4685323908,15778.7988192072,14757.2677655209,15027.6429575123,14923.6198119156,15084.2141833163,15458.1597009023,15259.7864342293,14925.6163199844,15780.637063921,16421.5099570959,15722.4908929689,16317.8690699562,15642.8780961612,16636.2127135563,16047.6103285675,14935.3253295792,16277.324444555,15282.0844325977,16186.7907052873,15166.1052512863,15401.0947340271,15551.4253355487,14995.9597872017,15116.8031340674,15365.2539175094,15029.9288229138,15925.0206966335,15646.3619879265,15469.5589856663,15394.5243907926,15237.8175908042,15845.2980231634,15897.6784811092,16598.7551644842,15047.3241279412,15811.6793929373,14159.9733823739,16213.0467293583,16253.1366449009,16287.006079264,17078.9748305683,15925.8642477977,16006.6340698723,16568.3161527879,15186.0863167994,15591.1847742037,14063.856793903,15227.1770516405,14955.8826367758,15601.2100199583,15734.6918290559,16251.3294282444,16074.0468097111,15708.7107804233,15206.441305839,16378.2393915508,16303.7751779318,16507.1335069331,17447.5886353252,16284.750530193,16150.535160815,17357.34237055,16948.5216544892,16752.398211121,16644.0615090039,15761.8860055994,16173.4544877043,15373.065327663,14840.3548635009,15391.279936074,15395.7796055686,14929.5027002994,14976.6027189079,16364.1223752848,15906.8875133236,16179.6958286785,17245.6246070415,16043.5539621466,16328.4602819459,15874.2784992941
,66,16915.0070442829,16591.6595414869,15663.1417754861,16382.5904789607,15499.3332078686,15663.5321724218,15937.1334738405,15099.1589156339,15422.9536232355,14687.8484130031,15087.2675044105,15988.4864505121,15205.3770810705,15134.5004353037,14212.2127264115,15688.3397811245,15677.6888254255,14670.9138238002,14920.4515961716,14834.5280003922,14999.8848686757,15345.0662261991,15180.5934469178,14833.8588085957,15645.0635475272,16313.9602070705,15617.761191429,16217.9067086251,15539.6923737805,16534.2624845586,15946.1126356303,14845.3651092556,16177.8583363357,15195.9055953131,16077.5996567535,15060.6610754434,15273.9130294721,15437.6638619146,14894.2337189246,15014.4859479106,15264.6106744056,14925.5546386898,15819.1192687583,15547.4321177965,15382.5442554701,15302.1294485543,15151.1154242145,15729.9174770359,15765.6259250023,16485.5941006858,14948.4755667887,15695.8310948312,14074.8074595313,16108.1643533731,16136.7726699116,16184.7802283578,16986.2741854974,15841.6812163194,15903.6143192494,16455.4722748817,15063.9677711818,15480.9190914302,13958.147948794,15124.2642480372,14847.7366293786,15491.1462707612,15626.5038153956,16147.6307530258,15984.6249285536,15613.1464884858,15122.7630232979,16271.8822367432,16174.1440381673,16387.1516267863,17344.4287108224,16185.1294601822,16042.601329345,17231.9998166403,16833.329639444,16647.8702913952,16539.539291366,15668.4607191014,16070.5824717801,15254.6769913213,14749.3036926975,15278.717322406,15283.6990354186,14831.2384925738,14867.7905194519,16254.1314221971,15805.7580814502,16075.5089564599,17127.030774702,15938.5114991433,16217.479222742,15746.6720498914
,66.5,16761.7619427785,16481.5235978885,15554.0227406223,16265.0549797817,15404.5324226962,15571.075993021,15814.1372827885,15019.3955308035,15335.5859685244,14602.2434147928,15006.9503440448,15856.3677789343,15096.5087592401,15038.4795080317,14120.6481986291,15590.2110298582,15576.5788316438,14584.5598820794,14813.2602348309,14745.4361888687,14915.5555540351,15231.9727514959,15101.4004596063,14742.101297207,15509.4900311334,16206.4104570451,15513.0314898892,16117.9443472939,15436.5066513998,16432.3122555609,15844.614942693,14755.404888932,16078.3922281164,15109.7267580285,15968.4086082197,14955.2168996006,15146.7313249172,15323.9023882804,14792.5076506475,14912.1687617538,15163.9674313017,14821.1804544659,15713.2178408831,15448.5022476664,15295.5295252738,15209.7345063159,15064.4132576248,15614.5369309085,15633.5733688954,16372.4330368873,14849.6270056362,15579.9827967251,13989.6415366887,16003.2819773878,16020.4086949222,16082.5543774517,16893.5735404265,15757.4981848411,15800.5945686265,16342.6283969754,14941.8492255643,15370.6534086566,13852.4391036851,15021.3514444339,14739.5906219813,15381.0825215642,15518.3158017353,16043.9320778072,15895.2030473962,15517.5821965484,15039.0847407568,16165.5250819356,16044.5128984028,16267.1697466395,17241.2687863197,16085.5083901714,15934.6674978751,17106.6572627307,16718.1376243988,16543.3423716695,16435.017073728,15575.0354326035,15967.7104558558,15136.2886549796,14658.2525218941,15166.154708738,15171.6184652686,14732.9742848482,14758.978319996,16144.1404691095,15704.6286495768,15971.3220842413,17008.4369423625,15833.4690361401,16106.4981635381,15619.0656004888
,67,16608.5168412741,16371.3876542902,15444.9037057585,16147.5194806026,15309.7316375237,15478.6198136203,15691.1410917365,14939.6321459731,15248.2183138133,14516.6384165825,14926.6331836792,15724.2491073566,14987.6404374097,14942.4585807596,14029.0836708468,15492.0822785919,15475.468837862,14498.2059403587,14706.0688734902,14656.3443773452,14831.2262393945,15118.8792767927,15022.2074722947,14650.3437858183,15373.9165147396,16098.8607070196,15408.3017883494,16017.9819859628,15333.3209290192,16330.3620265631,15743.1172497558,14665.4446686084,15978.9261198972,15023.5479207439,15859.2175596859,14849.7727237577,15019.5496203622,15210.1409146463,14690.7815823705,14809.851575597,15063.3241881978,14716.806270242,15607.3164130079,15349.5723775363,15208.5147950776,15117.3395640775,14977.7110910351,15499.156384781,15501.5208127886,16259.2719730889,14750.7784444838,15464.1344986189,13904.4756138461,15898.3996014026,15904.0447199329,15980.3285265455,16800.8728953557,15673.3151533629,15697.5748180036,16229.7845190691,14819.7306799468,15260.3877258831,13746.7302585761,14918.4386408307,14631.4446145841,15271.0187723672,15410.1277880751,15940.2334025886,15805.7811662387,15422.017904611,14955.4064582157,16059.167927128,15914.8817586383,16147.1878664926,17138.1088618169,15985.8873201607,15826.7336664051,16981.314708821,16602.9456093536,16438.8144519437,16330.4948560901,15481.6101461056,15864.8384399316,15017.9003186379,14567.2013510906,15053.5920950699,15059.5378951186,14634.7100771226,14650.1661205401,16034.1495160219,15603.4992177034,15867.1352120227,16889.843110023,15728.4265731368,15995.5171043343,15491.4591510861
,67.5,16455.2717397696,16261.2517106919,15335.7846708946,16029.9839814236,15214.9308523513,15386.1636342195,15568.1449006844,14859.8687611428,15160.8506591022,14431.0334183722,14846.3160233137,15592.1304357787,14878.7721155792,14846.4376534878,13937.5191430645,15393.9535273257,15374.3588440803,14411.851998638,14598.8775121495,14567.2525658216,14746.8969247539,15005.7858020896,14943.0144849834,14558.5862744295,15238.3429983458,15991.3109569938,15303.5720868097,15918.0196246318,15230.1352066385,16228.4117975653,15641.6195568186,14575.4844482846,15879.4600116779,14937.3690834592,15750.0265111521,14744.3285479149,14892.3679158074,15096.3794410122,14589.0555140935,14707.53438944,14962.6809450938,14612.4320860182,15501.4149851327,15250.6425074062,15121.5000648811,15024.9446218391,14891.0089244452,15383.7758386536,15369.4682566816,16146.1109092907,14651.9298833313,15348.2862005128,13819.3096910034,15793.5172254177,15787.6807449435,15878.1026756396,16708.1722502849,15589.1321218845,15594.5550673809,16116.940641163,14697.6121343292,15150.1220431096,13641.0214134672,14815.5258372275,14523.2986071868,15160.9550231702,15301.9397744148,15836.5347273697,15716.3592850813,15326.4536126735,14871.7281756747,15952.8107723207,15785.250618874,16027.2059863458,17034.9489373141,15886.26625015,15718.799834935,16855.9721549115,16487.7535943084,16334.2865322182,16225.9726384517,15388.1848596076,15761.9664240076,14899.5119822963,14476.1501802874,14941.029481402,14947.4573249688,14536.4458693969,14541.3539210841,15924.1585629344,15502.3697858301,15762.9483398043,16771.2492776834,15623.3841101335,15884.5360451301,15363.8527016836
,68,16302.0266382652,16151.1157670935,15226.6656360308,15912.4484822446,15120.1300671788,15293.7074548188,15445.1487096324,14780.1053763124,15073.4830043911,14345.4284201619,14765.998862948,15460.011764201,14769.9037937488,14750.4167262158,13845.9546152822,15295.8247760594,15273.2488502985,14325.4980569173,14491.6861508088,14478.1607542981,14662.5676101133,14892.6923273864,14863.8214976719,14466.8287630408,15102.769481952,15883.7612069684,15198.8423852698,15818.0572633007,15126.9494842579,16126.4615685676,15540.1218638813,14485.524227961,15779.9939034587,14851.1902461746,15640.8354626183,14638.884372072,14765.1862112525,14982.6179673781,14487.3294458165,14605.2172032832,14862.03770199,14508.0579017943,15395.5135572575,15151.7126372761,15034.4853346849,14932.5496796008,14804.3067578555,15268.3952925262,15237.4157005748,16032.9498454922,14553.0813221788,15232.4379024067,13734.1437681608,15688.6348494325,15671.3167699542,15775.8768247334,16615.471605214,15504.9490904062,15491.535316758,16004.0967632568,14575.4935887117,15039.856360336,13535.3125683582,14712.6130336242,14415.1525997896,15050.8912739732,15193.7517607545,15732.8360521511,15626.9374039238,15230.8893207361,14788.0498931336,15846.4536175131,15655.6194791094,15907.2241061989,16931.7890128114,15786.6451801392,15610.866003465,16730.6296010019,16372.5615792632,16229.7586124924,16121.4504208138,15294.7595731096,15659.0944080834,14781.1236459546,14385.099009484,14828.466867734,14835.3767548188,14438.1816616713,14432.5417216282,15814.1676098468,15401.2403539567,15658.7614675857,16652.6554453439,15518.3416471303,15773.5549859263,15236.2462522809
,68.5,16139.2605461545,16024.646991787,15104.6717386067,15782.0750888069,15009.9226318916,15190.500544011,15307.7404031179,14685.7330887995,14969.8133441241,14251.4109644251,14672.1535253607,15316.0273168663,14644.6750851849,14641.0757520035,13746.6328140955,15184.6307939527,15157.8762541092,14230.7352146819,14375.0399928857,14382.5596254759,14571.3685869136,14767.2166702029,14769.3261178835,14356.5807377871,14956.9915840952,15761.2985775479,15081.1583514374,15707.7317315429,15014.773184117,16008.8334712073,15426.1681324643,14386.304018386,15662.0998327673,14752.6718485812,15512.7916762539,14517.7266633776,14626.7178631163,14855.2101292142,14373.8208970118,14490.41662513,14750.449160756,14396.1120302568,15276.9741969305,15043.2388983133,14936.6739013179,14824.0406806149,14701.7708278874,15136.6535218489,15091.8478756547,15904.4475764796,14443.5047752053,15107.8574867247,13638.1905355329,15574.8205362721,15543.4605785089,15661.8379585078,16505.1850587906,15408.2093549429,15369.2086100896,15870.2589592988,14442.2382556766,14919.1341061457,13423.142257783,14601.3388462669,14298.4597141845,14930.3381875778,15074.966838256,15617.5149329809,15523.6120651019,15124.3180990002,14690.1793717539,15722.3378892029,15513.7307843121,15774.4890114944,16812.1670668486,15676.0546802437,15492.1602748657,16589.1168667918,16242.1632424797,16110.33689566,15998.9445091941,15186.5431731279,15536.8859660776,14643.4649179973,14286.115969832,14706.7295459786,14713.0870209144,14327.0390610224,14310.9596341975,15690.3512575588,15286.367206747,15539.447797261,16512.4156664798,15392.6085410311,15646.2526284419,15094.532894116
,69,15965.9508564149,15878.9649084376,14966.2609503976,15636.2851367692,14881.210691487,15070.7289626143,15153.4016928171,14571.2132625225,14846.7159136538,14142.548265852,14561.4739369356,15160.9554460128,14500.5656780418,14516.3064944475,13636.074171555,15056.8036028087,15024.3483414071,14122.5493672,14246.0462221944,14274.6666300324,14466.9161272736,14627.6699889263,14654.0631110738,14225.7457474037,14801.4493217686,15621.9531756741,14947.1520067894,15583.4844649659,14888.9740882276,15871.1579802573,15296.0772723798,14273.2310501368,15524.0676280317,14636.322635161,15365.3601354594,14380.12044988,14477.2240555329,14713.7835704618,14246.7195866978,14359.9412336107,14624.5145537439,14273.2119523552,15141.3884836482,14921.0976092787,14823.0725053847,14695.8064559031,14578.864584606,14988.5464670404,14932.6425942376,15759.1744681138,14318.2409204254,14970.4147074581,13526.8432640697,15447.8015284157,15401.5929015094,15531.9954498178,16372.334785036,15295.1702388076,15227.1776345718,15715.0860212538,14296.7526969055,14784.8547806803,13301.9826643196,14476.594506321,14169.9944529356,14796.5950981481,14942.2529219905,15486.4901396757,15402.6654369524,15001.6021009604,14572.8334862372,15577.3394171405,15357.9859645962,15627.0759344671,16670.697051072,15548.7067770715,15359.5542849883,16428.6473066893,16094.4194765405,15972.1004330179,15856.1032765722,15058.7869573003,15393.1908057521,14487.4618018789,14175.3616628953,14572.0300535747,14577.0418794387,14200.1153781058,14173.2024804113,15549.1918696122,15153.9782637879,15400.5046872693,16349.0767091907,15243.5930486633,15499.216809359,14939.114408982
,69.5,15781.567580774,15713.124533944,14811.1970627065,15472.1715686816,14731.1036676745,14930.900880516,14980.8083656238,14432.6363498269,14702.2794251362,14014.3239694579,14432.1473563683,14994.9754946513,14337.0502361144,14374.6561177388,13510.6181377059,14909.226888979,14871.9013185193,13997.8875121072,14101.6737831414,14149.9421206545,14344.3396001917,14473.7050095952,14515.9699053067,14073.9470318665,14635.4629037208,15463.2114652964,14794.6702971257,15441.0659283759,14746.8224055904,15711.4428066278,15146.5232466396,14142.9121542907,15365.0660835342,14497.8990499276,15198.7448812669,14225.7145494765,14316.2338979073,14556.994876167,14103.4929845027,14211.6483753442,14480.130870994,14135.3517041712,14985.8249715609,14781.5084860086,14689.2677526264,14546.7777969432,14433.1871262575,14824.4794041435,14758.6644324873,15595.8761928007,14175.2017946665,14816.9104509753,13397.9340841456,15303.9801018099,15242.1100045277,15383.0447901086,16214.2493653815,15159.8575524276,15065.9236203134,15539.4586132385,14138.3580065763,14635.340923309,13168.2139071314,14335.5115917603,14025.8989204444,14645.6528689814,14792.7955403804,15336.6688025341,15259.4954562649,14858.2816828101,14433.7235004414,15410.6385550389,15186.7787639421,15463.2647390195,16505.086468552,15400.4893135187,15208.3770871493,16247.5915506823,15927.2355753878,15811.8267021282,15691.9125015853,14909.079134332,15227.3625812288,14315.051184498,14048.4311161544,14421.4802803152,14423.8732595545,14054.8895996343,14018.9720293858,15387.8394377572,15001.9903677251,15240.9754127529,16162.7836198945,15071.3918086361,15332.2655749528,14770.1234170022
