,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,19.5726872830831,19.5726872830831,0,NaN,NaN,NaN,0,55,
,A02,SYBR,,Unkn,,,19.548415607685,19.548415607685,0,NaN,NaN,NaN,0,55,
,A03,SYBR,,Unkn,,,19.8182862667263,19.8182862667263,0,NaN,NaN,NaN,0,55,
,A04,SYBR,,Unkn,,,19.8559283101302,19.8559283101302,0,NaN,NaN,NaN,0,55,
,A05,SYBR,,Unkn,,,19.3090033925311,19.3090033925311,0,NaN,NaN,NaN,0,55,
,A06,SYBR,,Unkn,,,19.3108839034815,19.3108839034815,0,NaN,NaN,NaN,0,55,
,A07,SYBR,,Unkn,,,19.4376298718217,19.4376298718217,0,NaN,NaN,NaN,0,55,
,A08,SYBR,,Unkn,,,19.474683415277,19.474683415277,0,NaN,NaN,NaN,0,55,
,A09,SYBR,,Unkn,,,19.3799017242809,19.3799017242809,0,NaN,NaN,NaN,0,55,
,A10,SYBR,,Unkn,,,19.3618462887091,19.3618462887091,0,NaN,NaN,NaN,0,55,
,A11,SYBR,,Unkn,,,19.5809037333481,19.5809037333481,0,NaN,NaN,NaN,0,55,
,A12,SYBR,,Unkn,,,19.3206224976461,19.3206224976461,0,NaN,NaN,NaN,0,55,
,B01,SYBR,,Unkn,,,21.6838408646122,21.6838408646122,0,NaN,NaN,NaN,0,55,
,B02,SYBR,,Unkn,,,21.678911611268,21.678911611268,0,NaN,NaN,NaN,0,55,
,B03,SYBR,,Unkn,,,21.0243110372541,21.0243110372541,0,NaN,NaN,NaN,0,55,
,B04,SYBR,,Unkn,,,20.9865055109481,20.9865055109481,0,NaN,NaN,NaN,0,55,
,B05,SYBR,,Unkn,,,20.3038468964645,20.3038468964645,0,NaN,NaN,NaN,0,55,
,B06,SYBR,,Unkn,,,20.239348176425,20.239348176425,0,NaN,NaN,NaN,0,55,
,B07,SYBR,,Unkn,,,21.3109578251887,21.3109578251887,0,NaN,NaN,NaN,0,55,
,B08,SYBR,,Unkn,,,21.2668953885206,21.2668953885206,0,NaN,NaN,NaN,0,55,
,B09,SYBR,,Unkn,,,21.8377884029594,21.8377884029594,0,NaN,NaN,NaN,0,55,
,B10,SYBR,,Unkn,,,21.7055033726613,21.7055033726613,0,NaN,NaN,NaN,0,55,
,B11,SYBR,,Unkn,,,21.5964934622457,21.5964934622457,0,NaN,NaN,NaN,0,55,
,B12,SYBR,,Unkn,,,21.5179773629512,21.5179773629512,0,NaN,NaN,NaN,0,55,
,C01,SYBR,,Unkn,,,21.8345127764959,21.8345127764959,0,NaN,NaN,NaN,0,55,
,C02,SYBR,,Unkn,,,21.7610408881429,21.7610408881429,0,NaN,NaN,NaN,0,55,
,C03,SYBR,,Unkn,,,20.7905039724407,20.7905039724407,0,NaN,NaN,NaN,0,55,
,C04,SYBR,,Unkn,,,20.7477456148393,20.7477456148393,0,NaN,NaN,NaN,0,55,
,C05,SYBR,,Unkn,,,20.3428123363568,20.3428123363568,0,NaN,NaN,NaN,0,55,
,C06,SYBR,,Unkn,,,20.1661238622767,20.1661238622767,0,NaN,NaN,NaN,0,55,
,C07,SYBR,,Unkn,,,21.7248472698842,21.7248472698842,0,NaN,NaN,NaN,0,55,
,C08,SYBR,,Unkn,,,21.8116664993268,21.8116664993268,0,NaN,NaN,NaN,0,55,
,C09,SYBR,,Unkn,,,21.0255160207551,21.0255160207551,0,NaN,NaN,NaN,0,55,
,C10,SYBR,,Unkn,,,20.991248137094,20.991248137094,0,NaN,NaN,NaN,0,55,
,C11,SYBR,,Unkn,,,21.1237735618774,21.1237735618774,0,NaN,NaN,NaN,0,55,
,C12,SYBR,,Unkn,,,21.0745511325343,21.0745511325343,0,NaN,NaN,NaN,0,55,
,D01,SYBR,,Unkn,,,20.7456549871487,20.7456549871487,0,NaN,NaN,NaN,0,55,
,D02,SYBR,,Unkn,,,20.7800158405759,20.7800158405759,0,NaN,NaN,NaN,0,55,
,D03,SYBR,,Unkn,,,20.7233886943532,20.7233886943532,0,NaN,NaN,NaN,0,55,
,D04,SYBR,,Unkn,,,20.6604008750908,20.6604008750908,0,NaN,NaN,NaN,0,55,
,D05,SYBR,,Unkn,,,20.0852918007048,20.0852918007048,0,NaN,NaN,NaN,0,55,
,D06,SYBR,,Unkn,,,20.119739266707,20.119739266707,0,NaN,NaN,NaN,0,55,
,D07,SYBR,,Unkn,,,18.9461012906888,18.9461012906888,0,NaN,NaN,NaN,0,55,
,D08,SYBR,,Unkn,,,19.0087100750874,19.0087100750874,0,NaN,NaN,NaN,0,55,
,D09,SYBR,,Unkn,,,19.2569585655568,19.2569585655568,0,NaN,NaN,NaN,0,55,
,D10,SYBR,,Unkn,,,19.2202988299303,19.2202988299303,0,NaN,NaN,NaN,0,55,
,D11,SYBR,,Unkn,,,18.250691477838,18.250691477838,0,NaN,NaN,NaN,0,55,
,D12,SYBR,,Unkn,,,18.1226499535507,18.1226499535507,0,NaN,NaN,NaN,0,55,
,E01,SYBR,,Unkn,,,21.2369155005409,21.2369155005409,0,NaN,NaN,NaN,0,55,
,E02,SYBR,,Unkn,,,21.137779755851,21.137779755851,0,NaN,NaN,NaN,0,55,
,E03,SYBR,,Unkn,,,20.5905141038766,20.5905141038766,0,NaN,NaN,NaN,0,55,
,E04,SYBR,,Unkn,,,20.4767754172834,20.4767754172834,0,NaN,NaN,NaN,0,55,
,E05,SYBR,,Unkn,,,19.8852289105427,19.8852289105427,0,NaN,NaN,NaN,0,55,
,E06,SYBR,,Unkn,,,19.6177986807785,19.6177986807785,0,NaN,NaN,NaN,0,55,
,E07,SYBR,,Unkn,,,19.261371051033,19.261371051033,0,NaN,NaN,NaN,0,55,
,E08,SYBR,,Unkn,,,19.255686213948,19.255686213948,0,NaN,NaN,NaN,0,55,
,E09,SYBR,,Unkn,,,19.3690300615901,19.3690300615901,0,NaN,NaN,NaN,0,55,
,E10,SYBR,,Unkn,,,19.317130197306,19.317130197306,0,NaN,NaN,NaN,0,55,
,E11,SYBR,,Unkn,,,19.0729574138764,19.0729574138764,0,NaN,NaN,NaN,0,55,
,E12,SYBR,,Unkn,,,19.040100226092,19.040100226092,0,NaN,NaN,NaN,0,55,
,F01,SYBR,,Unkn,,,20.6158962051955,20.6158962051955,0,NaN,NaN,NaN,0,55,
,F02,SYBR,,Unkn,,,20.5560587444443,20.5560587444443,0,NaN,NaN,NaN,0,55,
,F03,SYBR,,Unkn,,,20.4242014398523,20.4242014398523,0,NaN,NaN,NaN,0,55,
,F04,SYBR,,Unkn,,,20.3631230866098,20.3631230866098,0,NaN,NaN,NaN,0,55,
,F05,SYBR,,Unkn,,,20.099190469106,20.099190469106,0,NaN,NaN,NaN,0,55,
,F06,SYBR,,Unkn,,,19.9065617452702,19.9065617452702,0,NaN,NaN,NaN,0,55,
,F07,SYBR,,Unkn,,,18.8658398948539,18.8658398948539,0,NaN,NaN,NaN,0,55,
,F08,SYBR,,Unkn,,,18.7759598784749,18.7759598784749,0,NaN,NaN,NaN,0,55,
,F09,SYBR,,Unkn,,,20.6066365717821,20.6066365717821,0,NaN,NaN,NaN,0,55,
,F10,SYBR,,Unkn,,,20.6088732771526,20.6088732771526,0,NaN,NaN,NaN,0,55,
,F11,SYBR,,Unkn,,,18.2295429043567,18.2295429043567,0,NaN,NaN,NaN,0,55,
,F12,SYBR,,Unkn,,,18.214444433892,18.214444433892,0,NaN,NaN,NaN,0,55,
,G01,SYBR,,Unkn,,,19.5170489913973,19.5170489913973,0,NaN,NaN,NaN,0,55,
,G02,SYBR,,Unkn,,,19.5006242623669,19.5006242623669,0,NaN,NaN,NaN,0,55,
,G03,SYBR,,Unkn,,,19.4043830160535,19.4043830160535,0,NaN,NaN,NaN,0,55,
,G04,SYBR,,Unkn,,,19.4785531643523,19.4785531643523,0,NaN,NaN,NaN,0,55,
,G05,SYBR,,Unkn,,,19.3293500085365,19.3293500085365,0,NaN,NaN,NaN,0,55,
,G06,SYBR,,Unkn,,,19.2653893962356,19.2653893962356,0,NaN,NaN,NaN,0,55,
,G07,SYBR,,Unkn,,,19.4696555724877,19.4696555724877,0,NaN,NaN,NaN,0,55,
,G08,SYBR,,Unkn,,,19.4793792993762,19.4793792993762,0,NaN,NaN,NaN,0,55,
,G09,SYBR,,Unkn,,,19.1623493879686,19.1623493879686,0,NaN,NaN,NaN,0,55,
,G10,SYBR,,Unkn,,,19.2580738170411,19.2580738170411,0,NaN,NaN,NaN,0,55,
,G11,SYBR,,Unkn,,,18.9348710727608,18.9348710727608,0,NaN,NaN,NaN,0,55,
,G12,SYBR,,Unkn,,,18.9470427368066,18.9470427368066,0,NaN,NaN,NaN,0,55,
,H01,SYBR,,Unkn,,,20.7354235045602,20.7354235045602,0,NaN,NaN,NaN,0,55,
,H02,SYBR,,Unkn,,,20.6562097340161,20.6562097340161,0,NaN,NaN,NaN,0,55,
,H03,SYBR,,Unkn,,,20.1309022526237,20.1309022526237,0,NaN,NaN,NaN,0,55,
,H04,SYBR,,Unkn,,,20.1790883229381,20.1790883229381,0,NaN,NaN,NaN,0,55,
,H05,SYBR,,Unkn,,,20.8519923881949,20.8519923881949,0,NaN,NaN,NaN,0,55,
,H06,SYBR,,Unkn,,,20.543188295843,20.543188295843,0,NaN,NaN,NaN,0,55,
,H07,SYBR,,Unkn,,,19.9727017262313,19.9727017262313,0,NaN,NaN,NaN,0,55,
,H08,SYBR,,Unkn,,,19.894959127426,19.894959127426,0,NaN,NaN,NaN,0,55,
,H09,SYBR,,Unkn,,,19.3471719703792,19.3471719703792,0,NaN,NaN,NaN,0,55,
,H10,SYBR,,Unkn,,,19.4819812123409,19.4819812123409,0,NaN,NaN,NaN,0,55,
,H11,SYBR,,Unkn,,,19.1631118107869,19.1631118107869,0,NaN,NaN,NaN,0,55,
,H12,SYBR,,Unkn,,,19.1064538159581,19.1064538159581,0,NaN,NaN,NaN,0,55,
