,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,,,,,,,,,,,,
A,Cq,19.5726872830831,19.548415607685,19.8182862667263,19.8559283101302,19.3090033925311,19.3108839034815,19.4376298718217,19.474683415277,19.3799017242809,19.3618462887091,19.5809037333481,19.3206224976461
A,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,,,,,,,,,,,,
B,Cq,21.6838408646122,21.678911611268,21.0243110372541,20.9865055109481,20.3038468964645,20.239348176425,21.3109578251887,21.2668953885206,21.8377884029594,21.7055033726613,21.5964934622457,21.5179773629512
B,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,,,,,,,,,,,,
C,Cq,21.8345127764959,21.7610408881429,20.7905039724407,20.7477456148393,20.3428123363568,20.1661238622767,21.7248472698842,21.8116664993268,21.0255160207551,20.991248137094,21.1237735618774,21.0745511325343
C,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,,,,,,,,,,,,
D,Cq,20.7456549871487,20.7800158405759,20.7233886943532,20.6604008750908,20.0852918007048,20.119739266707,18.9461012906888,19.0087100750874,19.2569585655568,19.2202988299303,18.250691477838,18.1226499535507
D,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,,,,,,,,,,,,
E,Cq,21.2369155005409,21.137779755851,20.5905141038766,20.4767754172834,19.8852289105427,19.6177986807785,19.261371051033,19.255686213948,19.3690300615901,19.317130197306,19.0729574138764,19.040100226092
E,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,,,,,,,,,,,,
F,Cq,20.6158962051955,20.5560587444443,20.4242014398523,20.3631230866098,20.099190469106,19.9065617452702,18.8658398948539,18.7759598784749,20.6066365717821,20.6088732771526,18.2295429043567,18.214444433892
F,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,,,,,,,,,,,,
G,Cq,19.5170489913973,19.5006242623669,19.4043830160535,19.4785531643523,19.3293500085365,19.2653893962356,19.4696555724877,19.4793792993762,19.1623493879686,19.2580738170411,18.9348710727608,18.9470427368066
G,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,,,,,,,,,,,,
H,Cq,20.7354235045602,20.6562097340161,20.1309022526237,20.1790883229381,20.8519923881949,20.543188295843,19.9727017262313,19.894959127426,19.3471719703792,19.4819812123409,19.1631118107869,19.1064538159581
H,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
