,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,,19.5726872830831,NaN
,A02,SYBR,,Unkn,,19.548415607685,NaN
,A03,SYBR,,Unkn,,19.8182862667263,NaN
,A04,SYBR,,Unkn,,19.8559283101302,NaN
,A05,SYBR,,Unkn,,19.3090033925311,NaN
,A06,SYBR,,Unkn,,19.3108839034815,NaN
,A07,SYBR,,Unkn,,19.4376298718217,NaN
,A08,SYBR,,Unkn,,19.474683415277,NaN
,A09,SYBR,,Unkn,,19.3799017242809,NaN
,A10,SYBR,,Unkn,,19.3618462887091,NaN
,A11,SYBR,,Unkn,,19.5809037333481,NaN
,A12,SYBR,,Unkn,,19.3206224976461,NaN
,B01,SYBR,,Unkn,,21.6838408646122,NaN
,B02,SYBR,,Unkn,,21.678911611268,NaN
,B03,SYBR,,Unkn,,21.0243110372541,NaN
,B04,SYBR,,Unkn,,20.9865055109481,NaN
,B05,SYBR,,Unkn,,20.3038468964645,NaN
,B06,SYBR,,Unkn,,20.239348176425,NaN
,B07,SYBR,,Unkn,,21.3109578251887,NaN
,B08,SYBR,,Unkn,,21.2668953885206,NaN
,B09,SYBR,,Unkn,,21.8377884029594,NaN
,B10,SYBR,,Unkn,,21.7055033726613,NaN
,B11,SYBR,,Unkn,,21.5964934622457,NaN
,B12,SYBR,,Unkn,,21.5179773629512,NaN
,C01,SYBR,,Unkn,,21.8345127764959,NaN
,C02,SYBR,,Unkn,,21.7610408881429,NaN
,C03,SYBR,,Unkn,,20.7905039724407,NaN
,C04,SYBR,,Unkn,,20.7477456148393,NaN
,C05,SYBR,,Unkn,,20.3428123363568,NaN
,C06,SYBR,,Unkn,,20.1661238622767,NaN
,C07,SYBR,,Unkn,,21.7248472698842,NaN
,C08,SYBR,,Unkn,,21.8116664993268,NaN
,C09,SYBR,,Unkn,,21.0255160207551,NaN
,C10,SYBR,,Unkn,,20.991248137094,NaN
,C11,SYBR,,Unkn,,21.1237735618774,NaN
,C12,SYBR,,Unkn,,21.0745511325343,NaN
,D01,SYBR,,Unkn,,20.7456549871487,NaN
,D02,SYBR,,Unkn,,20.7800158405759,NaN
,D03,SYBR,,Unkn,,20.7233886943532,NaN
,D04,SYBR,,Unkn,,20.6604008750908,NaN
,D05,SYBR,,Unkn,,20.0852918007048,NaN
,D06,SYBR,,Unkn,,20.119739266707,NaN
,D07,SYBR,,Unkn,,18.9461012906888,NaN
,D08,SYBR,,Unkn,,19.0087100750874,NaN
,D09,SYBR,,Unkn,,19.2569585655568,NaN
,D10,SYBR,,Unkn,,19.2202988299303,NaN
,D11,SYBR,,Unkn,,18.250691477838,NaN
,D12,SYBR,,Unkn,,18.1226499535507,NaN
,E01,SYBR,,Unkn,,21.2369155005409,NaN
,E02,SYBR,,Unkn,,21.137779755851,NaN
,E03,SYBR,,Unkn,,20.5905141038766,NaN
,E04,SYBR,,Unkn,,20.4767754172834,NaN
,E05,SYBR,,Unkn,,19.8852289105427,NaN
,E06,SYBR,,Unkn,,19.6177986807785,NaN
,E07,SYBR,,Unkn,,19.261371051033,NaN
,E08,SYBR,,Unkn,,19.255686213948,NaN
,E09,SYBR,,Unkn,,19.3690300615901,NaN
,E10,SYBR,,Unkn,,19.317130197306,NaN
,E11,SYBR,,Unkn,,19.0729574138764,NaN
,E12,SYBR,,Unkn,,19.040100226092,NaN
,F01,SYBR,,Unkn,,20.6158962051955,NaN
,F02,SYBR,,Unkn,,20.5560587444443,NaN
,F03,SYBR,,Unkn,,20.4242014398523,NaN
,F04,SYBR,,Unkn,,20.3631230866098,NaN
,F05,SYBR,,Unkn,,20.099190469106,NaN
,F06,SYBR,,Unkn,,19.9065617452702,NaN
,F07,SYBR,,Unkn,,18.8658398948539,NaN
,F08,SYBR,,Unkn,,18.7759598784749,NaN
,F09,SYBR,,Unkn,,20.6066365717821,NaN
,F10,SYBR,,Unkn,,20.6088732771526,NaN
,F11,SYBR,,Unkn,,18.2295429043567,NaN
,F12,SYBR,,Unkn,,18.214444433892,NaN
,G01,SYBR,,Unkn,,19.5170489913973,NaN
,G02,SYBR,,Unkn,,19.5006242623669,NaN
,G03,SYBR,,Unkn,,19.4043830160535,NaN
,G04,SYBR,,Unkn,,19.4785531643523,NaN
,G05,SYBR,,Unkn,,19.3293500085365,NaN
,G06,SYBR,,Unkn,,19.2653893962356,NaN
,G07,SYBR,,Unkn,,19.4696555724877,NaN
,G08,SYBR,,Unkn,,19.4793792993762,NaN
,G09,SYBR,,Unkn,,19.1623493879686,NaN
,G10,SYBR,,Unkn,,19.2580738170411,NaN
,G11,SYBR,,Unkn,,18.9348710727608,NaN
,G12,SYBR,,Unkn,,18.9470427368066,NaN
,H01,SYBR,,Unkn,,20.7354235045602,NaN
,H02,SYBR,,Unkn,,20.6562097340161,NaN
,H03,SYBR,,Unkn,,20.1309022526237,NaN
,H04,SYBR,,Unkn,,20.1790883229381,NaN
,H05,SYBR,,Unkn,,20.8519923881949,NaN
,H06,SYBR,,Unkn,,20.543188295843,NaN
,H07,SYBR,,Unkn,,19.9727017262313,NaN
,H08,SYBR,,Unkn,,19.894959127426,NaN
,H09,SYBR,,Unkn,,19.3471719703792,NaN
,H10,SYBR,,Unkn,,19.4819812123409,NaN
,H11,SYBR,,Unkn,,19.1631118107869,NaN
,H12,SYBR,,Unkn,,19.1064538159581,NaN
