,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,,10704.5969779062,,Unknown,Unassigned,False
,A02,SYBR,,Unkn,,11002.6607116736,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,,10569.1087015296,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,,10988.6145054967,,Unknown,Unassigned,False
,A05,SYBR,,Unkn,,10346.1252667165,,Unknown,Unassigned,False
,A06,SYBR,,Unkn,,10451.5552708596,,Unknown,Unassigned,False
,A07,SYBR,,Unkn,,10486.2842037418,,Unknown,Unassigned,False
,A08,SYBR,,Unkn,,9991.62483902719,,Unknown,Unassigned,False
,A09,SYBR,,Unkn,,9999.76855902786,,Unknown,Unassigned,False
,A10,SYBR,,Unkn,,10110.2904007994,,Unknown,Unassigned,False
,A11,SYBR,,Unkn,,9540.10222572082,,Unknown,Unassigned,False
,A12,SYBR,,Unkn,,10024.1950520581,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,,9800.03737022829,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,,9954.60909559713,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,,9712.32200865683,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,,10499.1176825408,,Unknown,Unassigned,False
,B05,SYBR,,Unkn,,11134.7446041958,,Unknown,Unassigned,False
,B06,SYBR,,Unkn,,10478.0758142945,,Unknown,Unassigned,False
,B07,SYBR,,Unkn,,9770.20866884588,,Unknown,Unassigned,False
,B08,SYBR,,Unkn,,9763.78076555249,,Unknown,Unassigned,False
,B09,SYBR,,Unkn,,9450.28591175141,,Unknown,Unassigned,False
,B10,SYBR,,Unkn,,9976.25097557666,,Unknown,Unassigned,False
,B11,SYBR,,Unkn,,9173.31140281558,,Unknown,Unassigned,False
,B12,SYBR,,Unkn,,9068.72411973051,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,,10966.0729855308,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,,11108.2183867887,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,,10681.3148132935,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,,11407.8660935528,,Unknown,Unassigned,False
,C05,SYBR,,Unkn,,11366.568272908,,Unknown,Unassigned,False
,C06,SYBR,,Unkn,,11943.8924019033,,Unknown,Unassigned,False
,C07,SYBR,,Unkn,,10277.3417351365,,Unknown,Unassigned,False
,C08,SYBR,,Unkn,,9677.09120452007,,Unknown,Unassigned,False
,C09,SYBR,,Unkn,,10362.011999579,,Unknown,Unassigned,False
,C10,SYBR,,Unkn,,10026.006719862,,Unknown,Unassigned,False
,C11,SYBR,,Unkn,,10032.6226204124,,Unknown,Unassigned,False
,C12,SYBR,,Unkn,,9731.36865702309,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,,11630.1734282319,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,,11803.5888629978,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,,11577.9927308935,,Unknown,Unassigned,False
,D04,SYBR,,Unkn,,11487.6632198912,,Unknown,Unassigned,False
,D05,SYBR,,Unkn,,11473.5102938618,,Unknown,Unassigned,False
,D06,SYBR,,Unkn,,11841.9900817304,,Unknown,Unassigned,False
,D07,SYBR,,Unkn,,11049.0676729201,,Unknown,Unassigned,False
,D08,SYBR,,Unkn,,10989.9292452684,,Unknown,Unassigned,False
,D09,SYBR,,Unkn,,10926.9175454476,,Unknown,Unassigned,False
,D10,SYBR,,Unkn,,11315.4883212447,,Unknown,Unassigned,False
,D11,SYBR,,Unkn,,10708.4725632572,,Unknown,Unassigned,False
,D12,SYBR,,Unkn,,11178.1095483973,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,,12045.8044531524,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,,12816.0433668839,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,,11389.7932423324,,Unknown,Unassigned,False
,E04,SYBR,,Unkn,,12397.5115608162,,Unknown,Unassigned,False
