,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,65,138.11527924783,118.482942652729,107.669739378533,112.036153182514,97.9444444958035,107.392412278522,120.447462394587,101.368840935536,104.361306671668,119.625385285595,102.292906887512,133.740393485306,122.147017822609,103.66407161118,98.6527184718072,113.61332012172,100.106262928397,94.6111629511179,110.495706320401,96.4803442297871,103.616053539717,104.356520451893,100.616519926294,93.1170642533039,129.475955868449,119.547677859264,110.901725812118,109.412789460362,101.71100227414,107.436709930335,116.870122687175,104.534714471625,97.4643184229253,100.243222100296,110.717242006007,122.620603647404,126.359950417795,110.182444348658,113.131694564541,114.665974913734,106.534653099209,108.107508921936,108.427850139413,103.425318272701,93.8416728538514,94.1422675795629,96.7758426007358,114.070738069431,137.897782773666,127.792825212245,112.826755915373,123.52704250172,112.408855013729,118.687658997213,119.531617758044,104.287631531796,108.905450282337,93.0433831467444,107.22838569245,119.596753417246,119.798356384835,121.580727177229,108.201579195443,113.242099336415,118.500302657789,122.04809122886,115.572592020555,110.463877795183,100.134346026091,102.708735177787,100.832728210251,146.196049325459,133.40646090539,125.507348468348,108.93102749286,111.404563471468,115.991122226035,121.694268033306,118.55036460466,120.833247642653,101.433506216703,100.864478371061,100.215542039281,128.399563602015,121.674367837321,123.391015016242,123.313357726607,113.499972333231,124.984838609113,129.348901253089,113.375772337645,115.589258761727,122.841132906985,114.677640444115,119.849140456156,132.627672581609
,65.5,299.249771703624,256.713042414245,233.284435320155,242.744998562118,212.212963074242,232.683559936796,260.969501854935,219.632488693663,226.116164455282,259.188334785456,221.634631589615,289.770852551486,264.651871948985,224.60548849089,213.747556688915,246.16219359706,216.896903011523,204.990853060755,239.407363694198,209.040745831201,224.501449336056,226.105794312434,218.002459840306,201.753639215491,280.531237714973,259.019968695074,240.287072592922,237.061043830784,220.373838260635,232.779538182394,253.218599155546,226.491881355192,211.172689916335,217.19364788398,239.887357679686,265.67797456938,273.779892571893,238.728629422094,245.118671556505,248.442945646429,230.825081714952,234.232935997527,234.927008635395,224.088189590851,203.323624516679,203.974913089058,209.680992301595,247.153265817101,298.778529342942,276.884454626535,244.457971149979,267.641925420394,243.552519196415,257.156594493966,258.9851718091,225.956534985557,235.961808945062,201.593996817947,232.32816900031,259.126299070699,259.563105500481,263.424908883993,234.436754923459,245.357881895567,256.750655758544,264.437530995867,250.407282711204,239.33840188956,216.957749723201,222.535592885206,218.470911122215,316.758106871828,289.047331961675,271.932588348084,236.017226234532,241.376554188178,251.314098156413,263.670914072166,256.859123310099,261.805369892411,219.772596802856,218.539703137299,217.133674418446,278.199054471033,263.627796980862,267.347199201862,267.178941740986,245.916606721997,270.800483653077,280.255952715025,245.64750673156,250.443393983742,266.155787965134,248.468220962249,259.673137655008,287.359957260154
,66,276.230558495649,236.965885305457,215.339478757062,224.072306365036,195.888888991608,214.784824557039,240.894924789171,202.737681871077,208.722613343341,239.25077057119,204.585813775029,267.480786970599,244.294035645221,207.328143222364,197.305436943614,227.22664024344,200.212525856787,189.222325902236,220.991412640794,192.96068845957,207.232107079437,208.713040903785,201.23303985259,186.234128506607,258.951911736898,239.09535571853,221.803451624236,218.825578920726,203.422004548278,214.873419860672,233.740245374354,209.069428943254,194.928636845847,200.486444200596,221.434484012018,245.241207294815,252.719900835597,220.364888697315,226.263389129078,229.331949827473,213.069306198421,216.215017843871,216.855700278826,206.850636545401,187.683345707704,188.284535159134,193.551685201473,228.141476138862,275.795565547335,255.585650424494,225.653511830753,247.054085003444,224.817710027463,237.37531799443,239.063235516093,208.575263063592,217.810900564673,186.086766293489,214.456771384901,239.193506834488,239.596712769675,243.161454354455,216.403158390883,226.484198672831,237.000605315582,244.096182457727,231.145184041107,220.927755590363,200.268692052186,205.417470355575,201.665456420506,292.392098650918,266.812921810777,251.014696936689,217.862054985726,222.809126942933,231.982244452073,243.388536066615,237.100729209322,241.666495285299,202.867012433406,201.728956742126,200.431084078566,256.79912720403,243.348735674645,246.782030032492,246.626715453218,226.999944666458,249.969677218221,258.697802506177,226.751544675286,231.17851752345,245.682265813974,229.35528088823,239.698280912316,265.255345163219
,66.5,276.230558495647,236.965885305446,215.339478757073,224.072306365005,195.8888889916,214.784824557062,240.894924789197,202.737681871095,208.722613343343,239.250770571182,204.585813775025,267.480786970609,244.294035645228,207.328143222399,197.305436943639,227.226640243432,200.212525856771,189.22232590226,220.991412640792,192.960688459575,207.232107079423,208.713040903784,201.23303985259,186.23412850661,258.951911736898,239.095355718563,221.803451624241,218.825578920723,203.4220045483,214.873419860696,233.740245374348,209.069428943242,194.92863684586,200.486444200576,221.434484012009,245.241207294806,252.719900835586,220.364888697301,226.263389129044,229.331949827492,213.069306198439,216.215017843874,216.855700278821,206.8506365454,187.68334570773,188.28453515912,193.551685201478,228.141476138854,275.795565547329,255.585650424485,225.653511830737,247.054085003435,224.81771002746,237.375317994457,239.063235516101,208.575263063591,217.810900564654,186.086766293469,214.456771384911,239.193506834491,239.596712769657,243.161454354467,216.403158390882,226.484198672824,237.000605315573,244.096182457728,231.145184041123,220.927755590384,200.26869205221,205.417470355601,201.665456420514,292.392098650892,266.81292181075,251.014696936698,217.862054985705,222.809126942959,231.98224445205,243.38853606659,237.100729209346,241.666495285313,202.867012433382,201.728956742118,200.431084078548,256.799127204052,243.348735674658,246.782030032481,246.626715453211,226.999944666444,249.969677218218,258.697802506156,226.751544675274,231.178517523468,245.682265813976,229.355280888197,239.698280912307,265.255345163217
,67,276.230558495688,236.965885305536,215.339478756997,224.072306365216,195.88888899167,214.784824556909,240.894924789014,202.737681870956,208.722613343325,239.250770571244,204.585813775033,267.480786970546,244.294035645173,207.328143222119,197.305436943442,227.226640243487,200.212525856934,189.222325902078,220.991412640837,192.96068845955,207.232107079514,208.713040903795,201.233039852571,186.234128506585,258.951911736898,239.095355718302,221.803451624207,218.825578920744,203.422004548158,214.873419860509,233.740245374393,209.069428943327,194.928636845782,200.486444200718,221.434484012047,245.241207294858,252.719900835615,220.364888697415,226.263389129316,229.331949827317,213.0693061983,216.215017843858,216.855700278855,206.850636545404,187.68334570753,188.284535159207,193.551685201436,228.141476138913,275.795565547339,255.585650424554,225.653511830838,247.054085003469,224.817710027492,237.37531799422,239.063235516016,208.575263063582,217.810900564808,186.086766293633,214.456771384852,239.19350683447,239.59671276978,243.1614543544,216.403158390893,226.484198672886,237.000605315636,244.096182457681,231.145184041007,220.927755590241,200.268692051991,205.417470355399,201.665456420424,292.392098651099,266.812921810999,251.01469693668,217.862054985844,222.80912694278,231.982244452214,243.388536066761,237.100729209158,241.666495285239,202.867012433565,201.728956742189,200.431084078665,256.799127203877,243.34873567456,246.782030032541,246.62671545325,226.999944666579,249.969677218266,258.697802506307,226.7515446754,231.178517523329,245.682265813949,229.355280888459,239.698280912345,265.255345163231
,67.5,275.393681256947,234.773647910011,213.507304412084,222.871761993059,194.035251317972,212.969689365756,238.875154990836,200.588966593378,206.474837255467,237.148078044213,202.513711806273,265.781199797768,242.375403039046,206.082246106155,196.509158483643,225.761569432371,198.806098752275,187.844603626944,219.357187964585,191.976467698353,205.734794946703,206.553020664388,199.140495055618,184.221331940284,257.547269795369,237.167360139708,220.297687163945,217.129013617399,202.024045824814,213.439445553396,231.981613452953,207.842124143591,193.518278073125,198.578194830553,218.921440757049,243.440011503786,251.116811305966,218.370884575669,225.073930030194,227.678757946587,211.663198570289,214.472461714587,215.500869772801,205.417817192427,186.040924171196,186.372175309079,191.192115104782,225.931750306013,274.613651054757,253.78836267593,224.451277894227,245.665763247443,223.599769293614,235.731314703117,237.750114028333,206.943812832717,215.037080695546,184.050449691615,211.893801974739,236.337188109946,238.146848370919,241.651414069024,215.315614605448,225.152939768573,235.74693737262,242.500942765539,229.523968840178,218.969815719168,198.442090991808,203.598358203056,199.263969104525,290.545992830275,265.249870053473,249.385899463392,216.483475176295,221.451435175764,230.082660744194,241.26897147173,234.795024066648,239.892246688549,200.690799222209,199.642031532132,198.383557529457,254.155633515392,242.064184793448,245.60220806757,245.660513217432,225.656191555787,248.391039066148,256.637862071283,224.543093049461,229.290415735855,242.971045747748,226.693777605214,237.570215937889,263.270518982777
,68,280.263974113348,247.941055305263,224.098180450646,229.439054946014,204.678879869589,223.337520127559,250.676221881116,212.940965999752,219.683365763984,249.460591105038,214.7362081351,275.943418572863,253.65059022156,212.981618771478,200.693554604057,234.111470704804,206.376445182249,195.413371009268,228.850079862978,197.258032120877,214.321935048362,219.244717965987,211.355904056885,195.814912005,265.738637678263,248.565427022902,228.878509782517,226.789395057981,209.881881563438,221.499998205848,242.242595289315,214.701370733714,201.084649999943,209.373017193858,234.015276573917,254.022283414458,260.580807114277,230.20886998664,231.767340701014,237.18621986635,219.540820573533,224.441081633082,222.915915953072,213.396530486049,195.321263176432,197.204181249731,204.810905791464,239.043704628468,281.733315494952,264.263388535458,231.29415925004,253.443523438052,230.493227963053,244.997783959702,245.157950427765,216.123302027519,231.228149637309,195.382160362662,227.053520294635,253.520329128457,246.722304266774,250.549657511477,221.498319010233,232.741567462765,242.899625204404,251.692300420132,238.642169574203,230.118634483033,208.711615168637,213.893627437547,213.167158150939,301.566418394222,274.511926738845,258.824140538018,223.773308019247,228.930597009651,241.11901966621,253.48475289983,248.314328696355,250.099760207948,213.180303463368,211.524298500681,210.018836472341,270.230419144126,249.563209279521,252.217294211331,250.946615183296,233.247487576987,257.577121462493,268.750723057241,237.36914556581,240.112938605723,258.930495673456,242.23173908222,249.860217851134,275.239020787295
,68.5,292.122944137682,276.381571492524,250.254287481593,248.486493363064,231.314342112158,250.03232092415,279.006132301341,244.164655400673,250.515470038398,278.535723990581,242.751334025979,298.426505128068,280.195492354352,232.227027316827,214.109295948166,255.437161025052,229.483092444327,217.224134098942,251.874042285859,213.224399860853,235.831852110356,248.659967576163,240.653242812122,224.629475758638,285.422489560338,274.55164131422,251.046241643272,251.554981880799,230.677622097914,242.810667240309,266.621177007939,233.249229144368,224.253636080866,237.717925378933,266.584640282061,278.884348158427,282.325013343002,256.853247286402,249.580181638911,260.877623837276,240.826638660496,249.59407460725,244.455625967202,235.485053752544,219.673697335709,225.39152452009,238.62036871817,268.614163597131,296.794935793949,289.409259300177,248.894588635396,274.566170812068,248.498185536099,269.515332312808,264.774320296509,240.689237246492,270.018128448491,226.724983831009,261.796467294846,290.565608698441,266.38702651137,270.930901177442,237.182699287317,252.165573735047,261.011305271092,274.567141823642,263.261233019289,258.907509935164,236.031133606345,240.775920200167,247.021866558374,326.112945708845,295.587508496503,281.993946209293,246.981374204855,249.900282604821,267.682197610748,283.896727993907,280.012851061876,275.411444419351,244.58625532453,242.346204818928,240.34662112808,303.616145076742,267.374276902045,270.117464559518,266.291282160193,253.237338279177,279.621124200295,297.029235613163,268.470500695509,267.601612123678,296.198291937488,279.713239650633,280.313738875589,300.628935998991
,69,303.568271024132,302.54656586901,278.100962567026,273.119145080946,262.081142096924,279.003737264379,306.483383127144,276.819191062356,281.74777149893,308.569549892483,271.668397030376,318.316353530255,305.443616412309,257.127961137378,234.08565496013,281.016944155274,259.980469188432,244.256167266178,276.261256591049,236.271118393456,260.628619175877,279.923752469336,270.110762340073,256.803979549596,305.419533998182,300.673338359315,275.643428381498,281.043627198472,257.428856801846,270.507126178338,293.049808361471,256.983968646598,255.893639199379,271.524226158718,296.898216921052,302.968109572873,303.9422390389,282.890639133307,271.142835852169,287.765905944439,266.873677175714,279.555967623406,272.064569590292,262.045064835647,249.561647718742,259.900409950665,274.903911043948,297.688670957917,311.4346637897,315.549979831833,269.508830194758,299.720254746472,270.325042389914,299.691708832899,288.311166971685,269.951834925116,309.544072971941,265.584398211053,295.224701585914,323.589136804722,285.010128628775,292.579923654917,257.672631872058,274.861604544127,283.134507039668,299.482484108228,291.438285495369,291.814312752448,270.420190785359,273.616739236845,285.196174388834,348.119347132346,315.47497933904,305.949241811671,279.899960346405,278.98827095784,297.036423838127,317.049411394406,312.99427940966,304.65374007174,280.010825551052,276.71213018203,274.751583294127,331.055965579372,286.517056325258,291.532550570945,286.006272874843,277.3618357824,303.597169676022,324.975072852108,301.690677975387,297.481359394583,332.132021314206,315.958590401786,312.749033882208,324.345485941083
,69.5,315.174827264047,327.578090285041,304.8979875071,301.894333964416,292.823838838274,306.896783125378,332.050069330177,308.306112671785,311.459118493122,337.005068584193,300.458230566818,336.381532733488,327.919761466577,284.377959752538,258.859425836668,308.131085199814,292.539674174553,274.947499885942,300.242087494876,264.944800913642,290.048933627687,311.813780994611,297.333537057061,289.344840914832,324.518924122712,326.235753725773,302.006923720346,313.348500821228,289.484460890195,302.706545127825,319.864479026742,284.690117701646,291.900557397277,307.578601437307,325.502269710334,325.563333073609,324.147608930414,307.366900059967,297.172721984162,315.953007932875,296.392506648708,310.905885711651,302.066283589399,291.071654715458,282.116001104849,297.713573929582,309.363395752725,324.264356866709,327.041738308177,341.29069393452,292.689172277656,327.05204637433,294.410258273895,332.443436543257,313.403667473954,301.118534231615,345.770431804137,305.402767260025,324.416941694813,352.851380042061,302.804737585055,315.239248445489,282.061604239797,300.200981359078,308.855965985556,325.527365087316,319.357897923499,325.952849805245,307.699064039505,309.17049606829,323.554240966974,366.690602874411,335.445742479594,329.763174759206,316.266547608202,312.107055292285,328.098211592438,349.381850892434,345.865759382618,336.747844725925,316.392185078181,311.109676801531,308.637610028998,355.126227911059,305.146507958387,314.94745837498,308.898317410975,303.143272192381,327.940260343997,352.045297545181,334.444119190184,327.51389317435,364.174095437972,347.337323862911,344.873479030286,346.77577949766
