,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,65,13430.6763154254,14019.4236719764,13359.6194918971,13739.5505980764,13066.3282495743,13327.9037754707,13484.5941212586,12792.3636477909,13161.9626902104,13099.2256733403,12831.3446266006,13617.9146920876,12946.6414043259,13007.024548755,12126.2063999054,13389.7211846995,13338.8361278716,12603.1415980729,12804.1979185774,12546.8366894843,12666.8581376099,13154.3549423013,12656.7861319447,12219.5149348475,13865.8656338874,14055.724401857,13265.6053606768,14021.9561964529,13378.2043236505,14002.4484489672,13546.2766463211,12598.097175114,13406.3353713782,12889.8469741653,13481.5412946001,12818.7321483138,13447.3419158131,13538.3990120866,12984.1012681403,13124.2042236108,13106.907113864,13383.0038351859,13110.3751553031,13011.3202374159,12831.1101841181,13117.1327269534,12872.4251129516,13368.8136191444,13705.5001085218,14508.0357561808,12753.8272610048,13761.9025317576,12628.6861390909,14555.6463157445,13227.0748511701,12895.8465067871,14496.2307047508,13462.2370972036,13211.6692236959,14091.8878913949,13014.3830220377,13577.697493899,12285.2941084342,13184.2620065417,13216.466236385,13629.1101870683,13361.4058298003,13569.3564545724,13681.8110279626,13412.4877018999,13544.5096711676,13995.9890419962,13872.4077786121,14185.2152386978,14580.3423498786,13748.5989482515,14123.7502741767,14379.590975061,14197.3749185797,13871.9783285458,13423.5246875481,12930.915026752,13147.5893784624,13626.306215468,12871.0765517603,13297.1478149268,13164.2291337703,12819.5750895716,13298.4045747282,14296.6316387398,13691.3966835955,13642.3162529802,14170.1696604577,13509.1705570662,13953.194733126,13695.2168305018
,65.5,13292.5610361775,13900.9407293236,13251.9497525185,13627.5144448939,12968.3838050785,13220.5113631922,13364.146658864,12690.9948068554,13057.6013835388,12979.6002880547,12729.0517197131,13484.1742986023,12824.4943865033,12903.3604771438,12027.5536814336,13276.1078645778,13238.7298649432,12508.5304351218,12693.702212257,12450.3563452545,12563.2420840702,13049.9984218494,12556.1696120184,12126.3978705941,13736.389678019,13936.1767239977,13154.7036348647,13912.5434069925,13276.4933213764,13895.0117390369,13429.4065236339,12493.5624606424,13308.8710529553,12789.603752065,13370.8240525941,12696.1115446664,13320.9819653953,13428.216567738,12870.9695735758,13009.5382486971,13000.3724607648,13274.8963262639,13001.9473051637,12907.8949191432,12737.2685112643,13022.9904593739,12775.6492703509,13254.742881075,13567.6023257482,14380.2429309686,12641.0005050894,13638.3754892559,12516.2772840771,14436.9586567473,13107.5432334121,12791.5588752553,14387.3252544685,13369.1937140569,13104.4408380034,13972.2911379777,12894.5846656528,13456.1167667217,12177.0925292388,13071.0199072052,13097.9659337272,13507.0620958395,13245.8332377797,13458.8925767772,13581.6766819365,13309.7789667221,13443.6769429573,13849.7929926707,13739.0013177067,14059.7078902295,14471.4113223857,13637.19438478,14007.7591519507,14257.8967070277,14078.8245539751,13751.1450809032,13322.0911813314,12830.0505483809,13047.3738364231,13497.906651866,12749.4021839229,13173.7567999105,13040.9157760437,12706.0751172383,13173.4197361191,14167.2827374867,13578.0209112579,13526.7269942185,14047.3285275507,13394.4929166221,13833.3455926698,13562.5891579202
,66,13154.4457569297,13782.4577866709,13144.28001314,13515.4782917113,12870.4393605827,13113.1189509137,13243.6991964694,12589.6259659198,12953.2400768671,12859.9749027691,12626.7588128256,13350.433905117,12702.3473686807,12799.6964055326,11928.9009629618,13162.4945444561,13138.6236020148,12413.9192721706,12583.2065059366,12353.8760010247,12459.6260305305,12945.6419013975,12455.5530920921,12033.2808063408,13606.9137221505,13816.6290461384,13043.8019090526,13803.1306175321,13174.7823191022,13787.5750291065,13312.5364009467,12389.0277461708,13211.4067345324,12689.3605299647,13260.1068105881,12573.490941019,13194.6220149775,13318.0341233893,12757.8378790112,12894.8722737833,12893.8378076656,13166.788817342,12893.5194550242,12804.4696008705,12643.4268384104,12928.8481917943,12678.8734277501,13140.6721430056,13429.7045429745,14252.4501057563,12528.173749174,13514.8484467541,12403.8684290634,14318.2709977501,12988.011615654,12687.2712437236,14278.4198041861,13276.1503309101,12997.212452311,13852.6943845605,12774.786309268,13334.5360395445,12068.8909500433,12957.7778078688,12979.4656310694,13385.0140046106,13130.2606457592,13348.4286989821,13481.5423359104,13207.0702315443,13342.8442147471,13703.5969433452,13605.5948568013,13934.2005417611,14362.4802948929,13525.7898213086,13891.7680297246,14136.2024389944,13960.2741893704,13630.3118332605,13220.6576751147,12729.1860700099,12947.1582943839,13369.507088264,12627.7278160856,13050.3657848943,12917.6024183171,12592.5751449051,13048.43489751,14037.9338362336,13464.6451389202,13411.1377354568,13924.4873946437,13279.815276178,13713.4964522137,13429.9614853386
,66.5,13016.3304776819,13663.9748440182,13036.6102737615,13403.4421385288,12772.4949160869,13005.7265386352,13123.2517340748,12488.2571249843,12848.8787701954,12740.3495174835,12524.4659059381,13216.6935116317,12580.2003508581,12696.0323339215,11830.24824449,13048.8812243344,13038.5173390864,12319.3081092195,12472.7107996162,12257.3956567949,12356.0099769907,12841.2853809456,12354.9365721658,11940.1637420875,13477.4377662821,13697.0813682792,12932.9001832405,13693.7178280718,13073.0713168281,13680.1383191762,13195.6662782595,12284.4930316991,13113.9424161095,12589.1173078644,13149.3895685821,12450.8703373716,13068.2620645597,13207.8516790406,12644.7061844467,12780.2062988696,12787.3031545664,13058.6813084201,12785.0916048848,12701.0442825978,12549.5851655566,12834.7059242147,12582.0975851494,13026.6014049361,13291.8067602008,14124.6572805441,12415.3469932586,13391.3214042524,12291.4595740497,14199.5833387529,12868.479997896,12582.9836121918,14169.5143539038,13183.1069477634,12889.9840666185,13733.0976311432,12654.9879528832,13212.9553123673,11960.6893708479,12844.5357085324,12860.9653284116,13262.9659133818,13014.6880537386,13237.9648211869,13381.4079898843,13104.3614963665,13242.0114865368,13557.4008940198,13472.1883958959,13808.6931932928,14253.5492674,13414.3852578371,13775.7769074986,14014.5081709611,13841.7238247657,13509.4785856179,13119.224168898,12628.3215916388,12846.9427523446,13241.107524662,12506.0534482483,12926.974769878,12794.2890605905,12479.0751725719,12923.4500589009,13908.5849349805,13351.2693665826,13295.5484766951,13801.6462617367,13165.1376357339,13593.6473117575,13297.333812757
,67,12878.2151984341,13545.4919013655,12928.9405343829,13291.4059853463,12674.5504715911,12898.3341263567,13002.8042716802,12386.8882840488,12744.5174635238,12620.7241321979,12422.1729990506,13082.9531181464,12458.0533330355,12592.3682623103,11731.5955260182,12935.2679042126,12938.411076158,12224.6969462684,12362.2150932958,12160.9153125651,12252.393923451,12736.9288604937,12254.3200522395,11847.0466778342,13347.9618104136,13577.5336904199,12821.9984574284,13584.3050386114,12971.3603145539,13572.7016092459,13078.7961555724,12179.9583172275,13016.4780976865,12488.8740857641,13038.6723265761,12328.2497337242,12941.9021141419,13097.669234692,12531.5744898822,12665.5403239559,12680.7685014672,12950.5737994981,12676.6637547454,12597.6189643251,12455.7434927027,12740.5636566352,12485.3217425487,12912.5306668667,13153.9089774272,13996.8644553318,12302.5202373433,13267.7943617507,12179.0507190359,14080.8956797557,12748.9483801379,12478.69598066,14060.6089036215,13090.0635646166,12782.7556809261,13613.500877726,12535.1895964983,13091.37458519,11852.4877916524,12731.293609196,12742.4650257538,13140.9178221529,12899.115461718,13127.5009433917,13281.2736438582,13001.6527611887,13141.1787583265,13411.2048446943,13338.7819349905,13683.1858448244,14144.6182399071,13302.9806943656,13659.7857852726,13892.8139029278,13723.1734601611,13388.6453379752,13017.7906626813,12527.4571132677,12746.7272103053,13112.70796106,12384.379080411,12803.5837548618,12670.9757028639,12365.5752002386,12798.4652202917,13779.2360337274,13237.8935942449,13179.9592179333,13678.8051288297,13050.4599952898,13473.7981713014,13164.7061401754
,67.5,12740.0999191862,13427.0089587127,12821.2707950045,13179.3698321636,12576.6060270952,12790.9417140782,12882.3568092858,12285.5194431133,12640.1561568521,12501.0987469123,12319.8800921631,12949.2127246612,12335.9063152129,12488.7041906993,11632.9428075465,12821.6545840909,12838.3048132295,12130.0857833174,12251.7193869754,12064.4349683354,12148.7778699112,12632.5723400418,12153.7035323132,11753.929613581,13218.4858545452,13457.9860125608,12711.0967316163,13474.892249151,12869.6493122799,13465.2648993157,12961.9260328851,12075.4236027558,12919.0137792637,12388.6308636637,12927.9550845701,12205.6291300767,12815.5421637241,12987.4867903432,12418.4427953174,12550.8743490422,12574.2338483681,12842.4662905762,12568.235904606,12494.1936460523,12361.901819849,12646.4213890555,12388.545899948,12798.4599287972,13016.0111946535,13869.0716301195,12189.6934814278,13144.2673192489,12066.6418640222,13962.2080207587,12629.41676238,12374.4083491282,13951.703453339,12997.0201814697,12675.5272952336,13493.9041243087,12415.3912401134,12969.7938580129,11744.286212457,12618.0515098595,12623.964723096,13018.8697309241,12783.5428696976,13017.0370655966,13181.1392978323,12898.9440260111,13040.3460301164,13265.0087953687,13205.3754740849,13557.6784963561,14035.6872124142,13191.5761308943,13543.7946630464,13771.1196348944,13604.6230955566,13267.8120903326,12916.3571564644,12426.5926348966,12646.5116682659,12984.3083974581,12262.7047125737,12680.1927398455,12547.6623451372,12252.0752279053,12673.4803816826,13649.8871324742,13124.5178219072,13064.3699591717,13555.9639959228,12935.7823548454,13353.9490308452,13032.0784675938
,68,12601.9846399384,13308.5260160599,12713.6010556259,13067.3336789811,12478.6615825994,12683.5493017997,12761.9093468912,12184.1506021778,12535.7948501804,12381.4733616267,12217.5871852755,12815.4723311759,12213.7592973903,12385.0401190881,11534.2900890747,12708.0412639692,12738.1985503011,12035.4746203663,12141.223680655,11967.9546241056,12045.1618163715,12528.2158195899,12053.0870123869,11660.8125493277,13089.0098986767,13338.4383347016,12600.1950058042,13365.4794596907,12767.9383100058,13357.8281893853,12845.055910198,11970.8888882842,12821.5494608407,12288.3876415634,12817.2378425641,12083.0085264293,12689.1822133063,12877.3043459946,12305.3111007529,12436.2083741285,12467.6991952689,12734.3587816543,12459.8080544666,12390.7683277796,12268.0601469952,12552.279121476,12291.7700573472,12684.3891907278,12878.1134118798,13741.2788049073,12076.8667255124,13020.7402767472,11954.2330090084,13843.5203617614,12509.8851446219,12270.1207175964,13842.7980030567,12903.976798323,12568.2989095412,13374.3073708915,12295.5928837286,12848.2131308356,11636.0846332615,12504.8094105231,12505.4644204382,12896.8216396952,12667.970277677,12906.5731878014,13081.0049518062,12796.2352908333,12939.5133019061,13118.8127460432,13071.9690131795,13432.1711478877,13926.7561849213,13080.1715674228,13427.8035408204,13649.4253668611,13486.0727309519,13146.97884269,12814.9236502477,12325.7281565255,12546.2961262266,12855.9088338561,12141.0303447364,12556.8017248292,12424.3489874106,12138.5752555721,12548.4955430735,13520.5382312211,13011.1420495695,12948.78070041,13433.1228630158,12821.1047144013,13234.099890389,12899.4507950122
,68.5,12458.8480972581,13176.889649034,12594.9382701779,12948.0942595656,12369.5953120614,12565.2660783743,12629.3432657075,12069.8894695768,12417.9468869816,12249.2318211789,12102.8616665755,12671.5344146539,12080.1004839309,12273.9006647812,11430.8596998441,12585.6375189807,12629.6537247448,11932.5971237644,12020.9226262771,11865.5689553086,11932.5618900349,12410.8991777016,11939.9152236789,11555.6187056765,12951.1060911591,13207.3226833707,12480.2586932305,13245.8872784102,12657.8395553916,13241.7876336123,12717.6339959821,11858.9903450141,12715.6229897819,12176.6949232421,12691.4423410281,11949.5807480355,12553.2037257105,12755.1578769155,12185.0426515936,12311.6232479304,12352.7278964016,12615.7959359567,12343.2512212908,12278.7460933891,12164.3639449233,12446.6626947956,12180.8367941666,12557.060097661,12733.1241421507,13602.7022532033,11956.8265659774,12888.8833037093,11834.5165095915,13714.9686830176,12382.4747979377,12156.0443846794,13717.2496335588,12798.7155155641,12445.6927073881,13237.5727051271,12167.0953409506,12717.5721619461,11521.3577913534,12383.5797577608,12379.4421101223,12765.2021103135,12542.6703944515,12784.3616707798,12969.910999419,12682.6118827414,12824.2716498004,12961.5400617928,12929.184241729,13296.8910145797,13809.5536785712,12960.6208533493,13300.4149163462,13515.0137112576,13353.6881354922,13015.5001034672,12700.4328647629,12212.3421268941,12433.7954248921,12711.6483081231,12011.6486716124,12426.3317780231,12295.2384162691,12017.0127645741,12414.0388755517,13378.8296873579,12884.5155674763,12821.8628309234,13294.0144097116,12690.4580542577,13101.4823600861,12754.9141653478
,69,12309.7844676895,13032.1837557682,12462.8694184746,12817.8357342384,12246.5380305383,12432.9541614905,12482.753254341,11939.4942917549,12284.9434991438,12102.5522729612,11974.4428431604,12517.1871495254,11933.510224109,12151.829767594,11319.0919920232,12451.8002075604,12507.4610393735,11817.2678958998,11888.9414868873,11753.5354010764,11808.5976947307,12279.0118695678,11812.1490075063,11435.448886629,12803.3555293946,13063.6196190366,12348.565209037,13113.0016430329,12536.1735488281,13113.8834728541,12577.9154320841,11736.7004796964,12595.8596818318,12049.6246655545,12550.6620376836,11803.9963778808,12406.6794527193,12620.2911471896,12054.977384298,12174.6488342591,12225.9658091765,12483.8574523407,12214.2817839427,12154.4177259352,12047.3680723557,12325.7191900542,12052.5143310463,12415.5942455474,12581.2124503741,13451.4897712148,11827.3498692401,12745.383378062,11705.0072513685,13572.9676815855,12244.3603671668,12028.5240772349,13572.3472432033,12675.9191995477,12306.4000999292,13083.9714990437,12029.1562287962,12576.8989617252,11398.0503368854,12251.968997183,12243.6818731907,12621.7306597889,12403.9886771945,12646.8095917556,12843.7169475638,12554.3573796569,12691.5866647048,12792.8534864528,12776.3236365762,13149.8308338414,13678.1898172785,12828.9220560633,13159.4619296682,13364.8750312322,13205.5797518242,12870.7480042996,12569.4781498491,12082.5988402521,12305.1102821488,12552.8097612452,11873.3100083976,12285.999825551,12157.2639630185,11884.5604190509,12268.3959000194,13223.2808111403,12742.0904321924,12680.5798235813,13136.791413181,12541.2560250815,12953.2261123358,12598.8258469316
,69.5,12155.2362060209,12874.5603053338,12316.9434226835,12674.3052344007,12107.503663279,12286.374517149,12323.1448626923,11793.256892134,12136.4381687897,11940.9443815314,11831.2333593976,12353.4903022258,11775.0866830885,12016.383542647,11196.0138068235,12304.3490989709,12369.3032804749,11687.7767921788,11744.7060905494,11628.4275832675,11671.2560094471,12130.9005453223,11670.1189501409,11298.7971665432,12645.7858376506,12906.7461351263,12204.3358073383,12964.3996071736,12399.5969554457,12970.5711705075,12424.529270022,11601.4117089196,12459.0173636775,11904.8346078665,12394.8564872187,11646.8380306396,12249.4701590862,12472.5006836221,11913.2541535114,12023.663773111,12085.3265915924,12336.020103711,12070.7594962184,12016.2991538123,11914.4074067477,12186.2910848021,11906.2223018497,12259.7853489368,12421.5731173715,13287.2149163803,11686.9261630617,12588.8091546398,11563.8249161188,13414.8785732281,12093.8644645178,11885.7706497153,13408.206145203,12532.9092942537,12151.1156221067,12914.6108017168,11882.2201597229,12424.865912194,11263.1080371714,12108.3216455486,12095.7721767424,12465.5447426152,12251.2574639534,12492.3733568408,12699.0220655308,12408.5762578014,12539.0641318563,12614.0123928979,12613.7375122376,12990.9196612409,13529.0445165008,12680.9817356469,13003.1549594936,13198.097317827,13040.756368906,12710.4340497255,12420.3106852229,11935.6353336225,12159.1046424119,12381.2126870317,11725.1876832755,12134.4823329768,12008.7298429613,11739.3805654113,12110.4099824513,13054.0031855065,12582.927887063,12524.3726172846,12962.5021488691,12375.2722781904,12788.8412396732,12430.8524989432
