,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,26.0146277489388,26.0146277489388,0,NaN,NaN,NaN,0,55,
,A02,SYBR,,Unkn,,,26.0388225867684,26.0388225867684,0,NaN,NaN,NaN,0,55,
,A03,SYBR,,Unkn,,,26.4603000307246,26.4603000307246,0,NaN,NaN,NaN,0,55,
,A04,SYBR,,Unkn,,,26.4075283959013,26.4075283959013,0,NaN,NaN,NaN,0,55,
,A05,SYBR,,Unkn,,,26.4204071575482,26.4204071575482,0,NaN,NaN,NaN,0,55,
,A06,SYBR,,Unkn,,,26.4567451359549,26.4567451359549,0,NaN,NaN,NaN,0,55,
,A07,SYBR,,Unkn,,,26.5968414398152,26.5968414398152,0,NaN,NaN,NaN,0,55,
,A08,SYBR,,Unkn,,,26.7321979240495,26.7321979240495,0,NaN,NaN,NaN,0,55,
,A09,SYBR,,Unkn,,,26.6788117505967,26.6788117505967,0,NaN,NaN,NaN,0,55,
,A10,SYBR,,Unkn,,,26.688965777938,26.688965777938,0,NaN,NaN,NaN,0,55,
,A11,SYBR,,Unkn,,,27.3690943683652,27.3690943683652,0,NaN,NaN,NaN,0,55,
,A12,SYBR,,Unkn,,,27.2193349614272,27.2193349614272,0,NaN,NaN,NaN,0,55,
,B01,SYBR,,Unkn,,,27.6295771667438,27.6295771667438,0,NaN,NaN,NaN,0,55,
,B02,SYBR,,Unkn,,,27.5171196411621,27.5171196411621,0,NaN,NaN,NaN,0,55,
,B03,SYBR,,Unkn,,,27.0958558168671,27.0958558168671,0,NaN,NaN,NaN,0,55,
,B04,SYBR,,Unkn,,,26.8642620784643,26.8642620784643,0,NaN,NaN,NaN,0,55,
,B05,SYBR,,Unkn,,,25.7322233168666,25.7322233168666,0,NaN,NaN,NaN,0,55,
,B06,SYBR,,Unkn,,,25.9401050206694,25.9401050206694,0,NaN,NaN,NaN,0,55,
,B07,SYBR,,Unkn,,,27.7520944868489,27.7520944868489,0,NaN,NaN,NaN,0,55,
,B08,SYBR,,Unkn,,,27.6514894821206,27.6514894821206,0,NaN,NaN,NaN,0,55,
,B09,SYBR,,Unkn,,,28.1468763688917,28.1468763688917,0,NaN,NaN,NaN,0,55,
,B10,SYBR,,Unkn,,,28.0868230403256,28.0868230403256,0,NaN,NaN,NaN,0,55,
,B11,SYBR,,Unkn,,,28.253255449412,28.253255449412,0,NaN,NaN,NaN,0,55,
,B12,SYBR,,Unkn,,,28.2420651327348,28.2420651327348,0,NaN,NaN,NaN,0,55,
