,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,,,,,,,,,,,,
A,Cq,26.0146277489388,26.0388225867684,26.4603000307246,26.4075283959013,26.4204071575482,26.4567451359549,26.5968414398152,26.7321979240495,26.6788117505967,26.688965777938,27.3690943683652,27.2193349614272
A,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,,,,,,,,,,,,
B,Cq,27.6295771667438,27.5171196411621,27.0958558168671,26.8642620784643,25.7322233168666,25.9401050206694,27.7520944868489,27.6514894821206,28.1468763688917,28.0868230403256,28.253255449412,28.2420651327348
B,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,,,,,,,,,,,,
C,Cq,26.5929772306983,26.6873056372672,26.4401240059799,26.381350906848,25.1668342529209,25.1438464113021,27.9380039496927,28.0274606011706,27.742316785705,27.7410109943005,27.827907182155,27.6326871921182
C,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,,,,,,,,,,,,
D,Cq,22.123828575618,22.1597199727335,22.5990526431794,22.6453439990313,22.6185113048018,22.6497108146235,24.83551532724,24.7348569743142,24.3789883317681,24.303646967806,24.3057942188773,24.1823649494777
D,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,,,,,,,,,,,,
E,Cq,22.5757640197155,22.4799748427121,22.8587149999424,22.6665668887971,22.570791323252,22.3618507390368,26.2893610945877,26.2716752727303,26.3925021715793,26.4580971217565,26.0571737783208,25.931210179722
E,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,,,,,,,,,,,,
F,Cq,21.1246262122674,21.046413258349,21.4128085944974,21.2827006469635,21.6369681303608,21.6486731638074,24.818492383733,24.8275318683031,26.575890761203,26.3831908195555,24.0729404476804,24.0083276688644
F,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,,,,,,,,,,,,
G,Cq,26.0055554429484,26.0097281366022,26.3179408817979,26.4877590044922,25.7057375541806,25.708533524961,27.2396727826832,27.2715362254992,28.1417233332817,28.1977099554973,27.6991048058806,27.6259983198633
G,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,,,,,,,,,,,,
H,Cq,22.0496867055423,22.0275251876181,22.6953029524607,22.7941542307778,22.6646885761641,22.5890233220367,27.2982696732073,27.1656451938761,27.8917251823869,27.8577174667157,26.8344312684126,26.9080677212383
H,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
