,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,,26.0146277489388,NaN
,A02,SYBR,,Unkn,,26.0388225867684,NaN
,A03,SYBR,,Unkn,,26.4603000307246,NaN
,A04,SYBR,,Unkn,,26.4075283959013,NaN
,A05,SYBR,,Unkn,,26.4204071575482,NaN
,A06,SYBR,,Unkn,,26.4567451359549,NaN
,A07,SYBR,,Unkn,,26.5968414398152,NaN
,A08,SYBR,,Unkn,,26.7321979240495,NaN
,A09,SYBR,,Unkn,,26.6788117505967,NaN
,A10,SYBR,,Unkn,,26.688965777938,NaN
,A11,SYBR,,Unkn,,27.3690943683652,NaN
,A12,SYBR,,Unkn,,27.2193349614272,NaN
,B01,SYBR,,Unkn,,27.6295771667438,NaN
,B02,SYBR,,Unkn,,27.5171196411621,NaN
,B03,SYBR,,Unkn,,27.0958558168671,NaN
,B04,SYBR,,Unkn,,26.8642620784643,NaN
,B05,SYBR,,Unkn,,25.7322233168666,NaN
,B06,SYBR,,Unkn,,25.9401050206694,NaN
,B07,SYBR,,Unkn,,27.7520944868489,NaN
,B08,SYBR,,Unkn,,27.6514894821206,NaN
,B09,SYBR,,Unkn,,28.1468763688917,NaN
,B10,SYBR,,Unkn,,28.0868230403256,NaN
,B11,SYBR,,Unkn,,28.253255449412,NaN
,B12,SYBR,,Unkn,,28.2420651327348,NaN
,C01,SYBR,,Unkn,,26.5929772306983,NaN
,C02,SYBR,,Unkn,,26.6873056372672,NaN
,C03,SYBR,,Unkn,,26.4401240059799,NaN
,C04,SYBR,,Unkn,,26.381350906848,NaN
,C05,SYBR,,Unkn,,25.1668342529209,NaN
,C06,SYBR,,Unkn,,25.1438464113021,NaN
,C07,SYBR,,Unkn,,27.9380039496927,NaN
,C08,SYBR,,Unkn,,28.0274606011706,NaN
,C09,SYBR,,Unkn,,27.742316785705,NaN
,C10,SYBR,,Unkn,,27.7410109943005,NaN
,C11,SYBR,,Unkn,,27.827907182155,NaN
,C12,SYBR,,Unkn,,27.6326871921182,NaN
,D01,SYBR,,Unkn,,22.123828575618,NaN
,D02,SYBR,,Unkn,,22.1597199727335,NaN
,D03,SYBR,,Unkn,,22.5990526431794,NaN
,D04,SYBR,,Unkn,,22.6453439990313,NaN
,D05,SYBR,,Unkn,,22.6185113048018,NaN
,D06,SYBR,,Unkn,,22.6497108146235,NaN
,D07,SYBR,,Unkn,,24.83551532724,NaN
,D08,SYBR,,Unkn,,24.7348569743142,NaN
,D09,SYBR,,Unkn,,24.3789883317681,NaN
,D10,SYBR,,Unkn,,24.303646967806,NaN
,D11,SYBR,,Unkn,,24.3057942188773,NaN
,D12,SYBR,,Unkn,,24.1823649494777,NaN
,E01,SYBR,,Unkn,,22.5757640197155,NaN
,E02,SYBR,,Unkn,,22.4799748427121,NaN
,E03,SYBR,,Unkn,,22.8587149999424,NaN
,E04,SYBR,,Unkn,,22.6665668887971,NaN
,E05,SYBR,,Unkn,,22.570791323252,NaN
,E06,SYBR,,Unkn,,22.3618507390368,NaN
,E07,SYBR,,Unkn,,26.2893610945877,NaN
,E08,SYBR,,Unkn,,26.2716752727303,NaN
,E09,SYBR,,Unkn,,26.3925021715793,NaN
,E10,SYBR,,Unkn,,26.4580971217565,NaN
,E11,SYBR,,Unkn,,26.0571737783208,NaN
,E12,SYBR,,Unkn,,25.931210179722,NaN
,F01,SYBR,,Unkn,,21.1246262122674,NaN
,F02,SYBR,,Unkn,,21.046413258349,NaN
,F03,SYBR,,Unkn,,21.4128085944974,NaN
,F04,SYBR,,Unkn,,21.2827006469635,NaN
,F05,SYBR,,Unkn,,21.6369681303608,NaN
,F06,SYBR,,Unkn,,21.6486731638074,NaN
,F07,SYBR,,Unkn,,24.818492383733,NaN
,F08,SYBR,,Unkn,,24.8275318683031,NaN
,F09,SYBR,,Unkn,,26.575890761203,NaN
,F10,SYBR,,Unkn,,26.3831908195555,NaN
,F11,SYBR,,Unkn,,24.0729404476804,NaN
,F12,SYBR,,Unkn,,24.0083276688644,NaN
,G01,SYBR,,Unkn,,26.0055554429484,NaN
,G02,SYBR,,Unkn,,26.0097281366022,NaN
,G03,SYBR,,Unkn,,26.3179408817979,NaN
,G04,SYBR,,Unkn,,26.4877590044922,NaN
,G05,SYBR,,Unkn,,25.7057375541806,NaN
,G06,SYBR,,Unkn,,25.708533524961,NaN
,G07,SYBR,,Unkn,,27.2396727826832,NaN
,G08,SYBR,,Unkn,,27.2715362254992,NaN
,G09,SYBR,,Unkn,,28.1417233332817,NaN
,G10,SYBR,,Unkn,,28.1977099554973,NaN
,G11,SYBR,,Unkn,,27.6991048058806,NaN
,G12,SYBR,,Unkn,,27.6259983198633,NaN
,H01,SYBR,,Unkn,,22.0496867055423,NaN
,H02,SYBR,,Unkn,,22.0275251876181,NaN
,H03,SYBR,,Unkn,,22.6953029524607,NaN
,H04,SYBR,,Unkn,,22.7941542307778,NaN
,H05,SYBR,,Unkn,,22.6646885761641,NaN
,H06,SYBR,,Unkn,,22.5890233220367,NaN
,H07,SYBR,,Unkn,,27.2982696732073,NaN
,H08,SYBR,,Unkn,,27.1656451938761,NaN
,H09,SYBR,,Unkn,,27.8917251823869,NaN
,H10,SYBR,,Unkn,,27.8577174667157,NaN
,H11,SYBR,,Unkn,,26.8344312684126,NaN
,H12,SYBR,,Unkn,,26.9080677212383,NaN
